"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"1","688.551@8.849","205463","211598","168435","128104","177088","175649",NA,"151801",NA,"156163","133314","137154","113027","117472","167249","123326","207002","96158","212975","201387","196236","155409","191084","116373","160527","139242","110120","180687","146134","99552","161721","109846","210290","207467","134653","143501","185449","130640","198922","136261","212738",NA,"194153","182853","130590","164814","134878","219669"
"2","270.2183@7.0960035",NA,"4585","NaN","10214","13281","7477","25620","6756","3012","4879","5236","4294","6389","3441","1765","NaN","12914","4020",NA,"NaN","6122","3302","NaN","7578","21077","4528","2123","6945","NaN","7667","7401","10245","NaN","9209","5134","7105","4575","NaN","8210","3949",NA,"9061","7137","NaN","3983",NA,"NaN","7894"
"3","911.5274@9.607987","27065","25282","32850","28022","30486","21254",NA,"17942","28116","25134","49795","31986","40556","31032","24746","25879",NA,"27966","25861","36963","29676","29808","30009",NA,"33441","22944","17602","26967","27325","35040","29780","27173","41682","32390","35073","31298","19955","28213","24924",NA,"49509","24208","26416","30052","19300",NA,"63654",NA
"4","948.4256@8.882997","47514","40330","24171","22908","12876","39375",NA,"23673","40801","37126","35793","37456","23489","21467",NA,"25358","22012","41995","26963",NA,"25328","39121","41379","25646","25963","39036","32661",NA,"40204",NA,"34743","26486","42765","19705","42694","39464","27030","39079","36138","21819","23368","41805","26079","20666","39589","37045","26636","37384"
"5","653.3911@6.1870055","7450","10490","11340","8852","11426","7025","11987","11156","12531","17064","11602","14020","23245",NA,"11148","17588","16907",NA,"9803","12026","8122","11246",NA,NA,"16990","18214","11997","9887",NA,"10170","9245","9536",NA,"11285","5097","8777",NA,"8547","18712","12450","15716","22130","4912","15890","15321","5706","8011","8972"
"6","832.546@9.018004",NA,"75208","63788","64107","46045","34143","46470","26976","73738","39413","36574","42131","50596","44897","54157","30498","80233","30917","40200","83633","36720","34800","52054","52216","39383",NA,"37005","82074","28941","32599",NA,"34965","49013","33758","36145","21740","47464","63633","32480","42174",NA,"48143",NA,"35740","44125","41595","40468","45419"
"7","927.4927@9.283007","67740","74242","76817","129923","56942","33603","30660",NA,"53408","56716","91992","36165","82872","80877","103545","45894","70286",NA,"62672","52695","82225","63331","60544","74992","58101","41450","56743","90985",NA,"85116","26684","52506","78765","95242","83907","51887","116723","58197",NA,"58709","70424","25571",NA,"62935","95873","160952","80040","60327"
"8","332.2455@4.623995","66445","48863",NA,"22045","27208","21976","20023",NA,"18640","30948","34868",NA,"16210","23201","52144","19316","25423","30796",NA,"45712","27739",NA,"20505","16506","39790","15571","27353","23339","9321","21883","30813","19087",NA,"21839","34950","29307","29919","27016","22634","21493","17722","24270","23773","42749","15880","29639","17197",NA
"9","959.4836@8.067994","116867","210229","123990","124951",NA,NA,"105812","115993","108793",NA,"124855","155890","196367","100208","119299","127125","129276","74901","106930","119570",NA,"132704","122074","122283",NA,"129916","113776","139128","119597","235193","108585","70853","110112","123725","66110","123561","87987","94530","141382","115366","139425","240089","82854","122266","140872","153260",NA,"83264"
"10","443.0969@7.5989995","25078",NA,"10692","35680","13288","11049","14591",NA,"4467","7878","6667","13851",NA,"15244","8999","10680",NA,"10361","9858","14296","7202","7987","25015","12539","22286","5681","15716","24065","19842","23790","8438",NA,"8565","8413","15392","17584",NA,"30277","5141","9940",NA,NA,"13217","7718",NA,"16696","34522","12984"
"11","911.5319@10.104992","52578","60668","51230",NA,"26157","47686","39584","34825","28487","21406","28566","22961","44353","49901","76088","58466","34273","34212","43149","62114","55668","45959","20014",NA,"19862","38230","36815","57773","24417","25755","25233","49153","30406","46413","32824","29235","49547",NA,"57950","38376","41030","23992","48144","36704","20284","42867","38395","46161"
"12","391.2467@2.837002","2318","10847","9469",NA,"27381","3252",NA,"6380",NA,"6485","2506","8186",NA,"NaN","907","3935","6189",NA,"6935",NA,"1785","NaN","23272","5309","29882","3899","3815","32186","23486","5137","3376","10505","19005","8788",NA,"11000","6502","970","3194","5298","3610","1469","2014","29452","23129","4555","8313","3873"
"13","863.5857@8.395997","256724","535051","522045","276762",NA,"216904","301921","182146","310776","286459","382770","832657","344440","283879","205191","394799","456385","124849","227004","434138","216540","342798",NA,NA,"258406","480614","278432","292205","316544","384368","243774","249182","630784","222136","147268",NA,"196108","447594","772541","318048","465207","324015","170493","353950","303354","420169",NA,"195461"
"14","254.1425@7.9379935","9552","211","8678","3973",NA,NA,"7778","2854","3572","NaN","235","NaN","1358","16702","3499","4393","2483",NA,"11850","1917","8189","278","826",NA,"3010","265","14324","1768","862","4922","196","9275","6958","7043",NA,"NaN","5472","5468","2263","5120","3059","246","11042","629","2386","12481",NA,"4340"
"15","690.565@9.122005","12079","10605","7506","4398","7659","9109","9040","7571","9566","8951",NA,"8980","6453","5314","9175","7554","12712","5447","10572","11844","13692","6406","11439","6242","8950","7673","4559","6932","5306","5106","5474","7180",NA,NA,"4650","9762","8487","6321","11073","7606","10876","10568","9861","8037","9747","8080","7458","11492"
"16","920.4227@2.608997","2668","9760",NA,"3816","2585","7226","28830","6179","3952","3170","3163","7470","35145","7259",NA,"7473","4972","8270","6341","9717","23970","6972","7046","7042","25311","6865",NA,"20850",NA,"15779",NA,"2226","31171","5538",NA,"20796",NA,"3021","20074","2053",NA,"17163","5193","43892","32105","13619","22818","23486"
"17","674.535@8.450007","29479","19126","12957","13951","23871","17525","28957","21097","24453","14868","17217","15383","14674","13195","12481","8235","21349","10590",NA,"19753","14809","13859",NA,"13627","22082","12105","6696","15486","14921","10967","15775","16550","29175","21261","16182",NA,"21265","15251","14863",NA,"18602","17820","22294","20783","12080","16190","19016","26713"
"18","792.5175@8.455995","28078","9696","10547","7913","14224","7993","16828","14071",NA,"12361","13359","15282","20813","11298","5941","9998","16569","13433","18610","14462","14591","9149","13371","13790","27050","7545","15400","18677","8635","17198","12312",NA,"13990","31089","14014","13816","12187","14426","18477","24378","14698","15663","16287","14039","13672","17285",NA,NA
"19","887.5861@8.9349985","68691","215188","186252","101469","183102","110637","108827","89597","102681",NA,"212258","74951","212679","101095","77270","216823","277423",NA,"77784","94376","87582","153646","241459","234009","266414","174658","409217",NA,"312270","257060","167394","123403",NA,NA,"186191","112638","147446","200447","230136",NA,"361124","260560","158617",NA,"179217",NA,"244275","281358"
"20","717.5287@9.604003","7876","6494","12010","9154","12230","5069","8734","5052","12237","9287","12555","10545","6004","6861","6652",NA,"20987","3500","9410","12723","7028","11152","14075","6011","13808","6003","7774","11378","8231","7807","9056","4697","23706","10632","10172","12819","10101","6843","8983","10284","34829","5815","9331","12302",NA,"19323","6026","11891"
"21","584.2637@2.8480027","2082","6021","19873","6042","4084","18470","16246","42597","13149","1716","5153","NaN","6570","33974","10052","15550","6864","20637","12228","33785","9929","5792","31885","12530",NA,"1863","10368","3501","15996","5967","2217","13294","7087","12208","3451","3514",NA,"21115","3034","5430","6755","1529","34086","3519","4160","18446","80461","4151"
"22","438.275@6.309998","4925",NA,"9540","11717","14128","9664","5001","4483","6654","8526","6918","6699","7110","6041","6171","7012","7731","4262","8898","7806","7004","4968","9218","7816","8594","7686","5294","10000","8252","8974","9085","3514","7723",NA,"5879","6061","7001","5944","7901","8491","11546",NA,"8277","9694","6762","5952","6708","7445"
"23","707.4324@5.9299946","4199",NA,NA,"6779","6379","6165","5030","3347","9003","13179","6804","10242","8072","2287","4727","6037","15288","2287","5098","10117","7504","7967","7673","5043","3543","15836","3770","4566","5217","6545","3458",NA,"6454","2539","NaN","8403",NA,"2060","10245","3043","4318","5076","1863","7356","8735",NA,"1725","1960"
"24","438.2251@3.4719965","19479","23421","35723","14299","33269","28029","18212","19284","12792","35281","37696","28562","23306","18812","38419","13255","15212","11182","74165","22783","16089","51365","53060","26817","41814",NA,"36679","23773","44307","31062","13934","18898","28943","38519","5707","31380","6353","15277","18281",NA,"25554",NA,"10696","32136","30066","5958","28271","17921"
"25","963.5406@9.286991","28556","30952","40204","19237","36155","23147","12372","29566","40858","24005","47826","7245","46915","24528","45954","30912","52551","22556","20863","34577","44659","29340","25140","18187","18247","12635","26633","29220","40379","39247",NA,"22499",NA,"27095","50291","21122","51702",NA,"48347","26525",NA,"21745","31231","30144","38477","41809","42636","38759"
"26","563.2597@3.819","41728",NA,"21081","124183","28455","50641","6926","15674","9000","8154","8322","41950","28277","NaN","33517","47618","37858","9241","32850","101421","23467","25561","8364","1662","31957","33621","101451","39881","62928","18971","33283","48911","11758","13363","2927","28953",NA,NA,"16856","10527","34991","20797",NA,"56219","16073","4282","37012","13820"
"27","916.4856@8.85301","144444","128112","138803",NA,"128317","141271","129487","131410","115389","144145","123130","126670","136257","113191","144015","116370","34478","140617","132695","147632","142025","125978","144992","112695","127947","137881","113703","145107","128244",NA,"129885","119054","143039","145804","126529","132718","128938","107053","139071","121462","119176","137134","122962","123645",NA,"121197","116871","128115"
"28","139.972@0.12899995","25853","13799","23962","14203","20704","20074","30520","25253",NA,"12395",NA,"18917","NaN","28383","26750","21917","29527","23229","28539","24815","28959","700","19810",NA,"26167","24240","29916","26469","21006","19559","17879","25212","29181","26180","28070","24369","18648","30428",NA,"28876","24700","2007","29537","26488","21833","NaN","NaN","29529"
"29","392.1833@3.9270015","1870",NA,"4336","NaN","1173","944","697","NaN","NaN","15235",NA,"NaN","3046","2616","6579","17129","2431","904","947","5222","10572","8346","1106","NaN",NA,"3092","1037","NaN","NaN","1492","4836","NaN","715","10239","NaN","3495","1285","13762",NA,"78199","13045","933","NaN","1513","6189","1627","NaN","1657"
"30","683.3397@5.658997","4659","7413",NA,"7648","8709",NA,"9987","4892","8803","3702",NA,"6420",NA,NA,"6681","6660","6029","7261","4899","8262","9505","5645","7884","5659","7918","4557","4690","4165","4134","2056","7731","4781","10439","11388","5339","2735","8019","5483","6690","5734","11642","5394","5899","9213","5103","3531","5200","10031"
"31","211.9567@0.11600009","114254","159555","140115","162883","169438","151982","161500","NaN","147264","121124","17075","171140","109204","16396","173703",NA,"14710","149179",NA,"170757","171629","158969","NaN",NA,"125093",NA,"151663","110081","83819","145220","159319","171101","NaN",NA,"185702","139907","158517","137281","134640","116067","99049","164420","171380",NA,"102856","117119","NaN",NA
"32","685.4184@6.3210025","8576","13283","18969","14613","21273","10346","21658","14159","17860",NA,"21114","34619","23837","16233","10916",NA,NA,"6770","13168","21447","18986","18530","26613","15985","18483","20083","16237","14119","24387","14779","21313","12477","20259","20179","8194","25699","10025","16588","30741","18760","27559","21273","10586","23201","21921","14960","16478","18755"
"33","767.5487@9.276994",NA,NA,NA,"67458","93043","50147","88003","63009","91571","27495",NA,NA,"59143",NA,"88099",NA,"38827","73631","43771","94595","50492","26354","80804","38247",NA,"18931","91180","60664","70557","51194","27230","91825","54110","76408","105984","22247","140591",NA,"64771","62502","83224","118935",NA,"30331","73046","63321","100391","107414"
"34","853.5666@6.6909976",NA,"265104","157635","241996","168467","215184","159845","365160","222787","686117","251158","1780299","389956","91116","256883","133070","192268","77641","235098","302319","238308","228638","239952","175250","273870",NA,NA,"213310","186894","169390","170785","279537","203834","278564","32672","390463","62643","101616","305718","105353",NA,NA,"65602","308980","266491",NA,"122705","95980"
"35","750.5505@10.351993","191571","110983","23536","64681",NA,"45621","74618","76103","90652","87628","130452","75789","78490","82567","50341",NA,"93933","62705","92519","109518","75333","82038","157568","104157","197021","75955","69200","46459","87525","79688","72628","72537","77840","163452","89570",NA,"73769",NA,"72341","61739","94224","75014","71279","65003","53272","87406","70189","58678"
"36","555.3298@5.658997","13452","15012","21545","9493",NA,NA,"16951","12214","17621","8567","18398","9847","14504","16418","10860","13101","18811",NA,"12672","18448","15934","13514","20074","11099","13658","9397","8992","9204","6900","7139","19197","6795",NA,"22171","11253","6821","19893","14452","12695","11453","23353","14270","10899","16486","11258","8776","8637","16290"
"37","338.2456@5.791994","28088","101496","57173","51779","80936","51936","701501","32036","106825","72956","105759","49812","65577",NA,"38005","51621","160634","23377","31620","40429","275061","108430","653686","66594","39927","48785","81524","52101","34390","86649","46769","36968","36478",NA,"36625","364500","113446","18947","54400","25629","47661","88042","20248","43805","43067","293320","310904","12072"
"38","943.5197@9.010991","37113","56555","44581","31840","60683","27666","42788","28183","31379","31564","44431",NA,NA,"35212","34461","55377","60869","20285","25737","37078","24768","15720","24519","43241","39974","43488","74952",NA,"51659","70127","36204","34802","42331","30353","34489","36351","39664","33567","38644","53664","60360","45995","36893","59271",NA,"39706","36168","32847"
"39","743.5458@10.710009","39595",NA,"53118","52588","50991","16566","20801","8573","42005","17690","107365","20010",NA,"34298","28065","16911","38796","39572","25393","28480","29837","21770",NA,"16529","26524","24418",NA,"56278","44098","55726","42381","20193","74904","51753",NA,"24040","52370","58483","12415","44412","55205","13400","37453","29961","13731","104823","43822","33603"
"40","243.0867@5.5929956","9925","6528","7307","8073","11243","5405","10241","12464","11576","10301","4092",NA,"10236","4652",NA,"3642","8508","3401","3042","6290","4366","5922","7376","8234","9955","5090","10039","3863","4627","3836","11217","3498","13187","6832","2848","3753","3863","3462",NA,"4154","7815","3788","3062","5271","4351","11021","2658","9125"
"41","521.3117@4.506004","12048",NA,"11274","9477","9045","14356","12835","11115","9446","19284","13153","13849",NA,"11272","8431","9282","9103","8158","6073","9001","9225","11349",NA,"9279","12855","14565","9373","7748","9472","9275",NA,"8125","8691","9699","3089","8860","9553",NA,"30707","11404","7729","16173","8170","12595",NA,"6150","8268","6710"
"42","660.5196@8.081989","60082","38184","31767","28060",NA,"28019","49592","34358","43883","20947","34259","28806","24007","25696","25171","15602","40915","22897","39436","35219","31986","25556","41360","23807",NA,"20315","20140","31182","31827","19575","34438","26538","51876","37251","35833",NA,"40604",NA,"28507","20886","44885","33056","37487","35667","18633","40581","35247","51797"
"43","336.2303@4.9779973","398431","536337","650803","651735","717339",NA,"857316","790581","401347","804143","814520","866233","1471318","463553",NA,"858524","772459","353869","461858","508822","446116","719424","722702","789289",NA,"1109229","825756","1246585","692460","764166","723902","736645","570889","446354","181926","421808","430315","489762","1459084","956239","967222","1109578","351252","719018","1093366","457860","437507","196233"
"44","933.5099@8.10999","91230","95623","146297","96847","104086","130180","94823","114839","103785","152106","160384","106931","132862","103670","202804",NA,"128525","54621","99199","125091","134155","108169","123443","154249","130169","152564","83528","109125","130752","126204","106622",NA,"95609","139016","48855","124141","83896","98537","122946","94714","59832","104382","62783","126729","183117",NA,"118726","69643"
"45","152.1203@4.035003","3972","6571","5544","4684",NA,"4625","4744","3136","4882","12781","8881","5844","13524","2320","3084","6818","10755","1457","4572","5653","4229","6573","8164","224680","4131","11790",NA,"3171","6461","4298","5981",NA,"4872","4592","124448","3742","2104","3087","6657","2766","4668","6182","1388","6070","6865","283271","1776","1824"
"46","304.24@5.497993","16568","16781","18461","25117","17134","24083","16844","18705","15899","21290","28715","10504","27538","26447","19482",NA,"18081","13744","19082","12419","13769","29743","17483","20334","18953",NA,"24471","25386","24292",NA,"15197","17814","26278","16338","13253",NA,"21354","20469","20352","23568","24724","29846","15615","26607","21161","15171","17104","20358"
"47","584.3433@5.8709984","11163","15858","12435","8597","14415","10040","13713","14399","13428","14692","15683","9688","12139","12264","12162","13693","15379","11452","13197","12051","17032","16275","16806","14099","12288",NA,"10124","10985","10866","8258","14816","7962","11809","17482","12552",NA,"12755","10343","16100","10967","16210","11755","10446","13136","11536","13759","10586","8544"
"48","712.2754@5.939","6575","12420","4872","8180","9259","7979","7093","6851","3757","7318","9838","7595","8731","8715","9391","6242","9235","5695","3362","5111","19414","5682","11833","11324","8398","6228","2195","4002","3128","6299","6634","3674","5049","10074","2111","4387",NA,NA,"8145","1982",NA,NA,"4166",NA,"8049","4441","7598","5236"
"49","919.5756@7.879009","135366","396442","245312","219558","410548","242000","622098","137723","667813","188880","633882","116484","522329","208041","357644","391350","218391","118628","260730",NA,"286057","205454","218793","648595","191620","746640","953462","491251",NA,"782243","338020","215621","655450","316039",NA,"623635",NA,NA,"284269","501797","909190","287652","407521",NA,"359359","235858","608015","430304"
"50","506.2656@5.5069976",NA,"10025","6427","6717",NA,"6652","6060","6536","8123","8583","8306","7421","7217","6244","9241","4426","9167","6349","5780","8207","6372","11087","10949","4786","7066","8148","5606","7947","5767","4165","8273","4758","5645","10665","5533","3476","8403","7626","11446","7881","7200",NA,NA,"6746","6925","9637","6645","6289"
"51","835.5564@7.856003","253800","137573","206574","333358","193695","410094",NA,"310339","284432","948233","415546","416961","409115","72244","200213","265150","508559","113901","286467","350428","380560","376487","244243","490376","446003","800030","269738","490144","356073","603464","249326","158107","98329","597887","62410","543768","211437","203997","865776","303736","454805","413993","157448","451239","724016","318175","275156","139063"
"52","400.2282@4.0039983","14600","37386","28298","29971","10635","22017","29054",NA,"12831","21184","11262","12843","46061","11725",NA,"17851","6557","9932","9529","12597","14728","36483","20309","17369","21501","47810","13150","22379","18729","23459",NA,"268105","32810","27277","7263","12426","7107",NA,"24851","19119","6127","25693","8255","42242","12987","7279","5709","6907"
"53","751.5501@10.802001","27962","53450","88898","74747","38237","44320","50804","42358","63878","19586","77151","24177","42910","53387",NA,"46412","47405","98606",NA,"135405","115077","37484","42632","22185","17283","37092","52154","139560","50039","28858","57259","74307",NA,"38866","135688","25787","67582","76517","33109","85058",NA,"35159","41803","51262","59936","85122","92948","47719"
"54","705.4186@6.484992","32198","25872",NA,"30917",NA,"30382","40722",NA,"27611","59623","56273","33371","84758","35600","41279","64781",NA,"17336","25079","47016","24300","48493","80982","35958","78893","74825","44499","44957",NA,"24538","52219","26943","35506","27816","9573","47876","22433","31132","59724",NA,NA,"62796",NA,"70238","81169","15968","25284","21811"
"55","625.3951@6.2600045","4088","6665","10374",NA,NA,"5766","5969","5342","4973","11572","4283","12404","11411","3929","10801","7188","11081","2186","5138","8162","6731","7744",NA,"6144","5363","14422","9160",NA,"6404","6338","5231","5801","6645","9651","1645","7222","2640","6698","15365","5515","7197","8786","4306","10000","12121","3719","3388","3920"
"56","705.253@5.506997","8637","8709","11227","8314","11127","12319","7088","12180","8296","8364","9968","9427","12323","13878","10724","7551","10013","11348","7303","9074","8106","12535","9616","9519","9971","12669","7930","12649",NA,"7770","8767","8552","8898","13986","7576","7917","9813","9397","10820","12926","9956","8446","7676","7676","13053","9605","7017","8379"
"57","942.5@9.020997","49922","58857","56837","37312","58539","33636","68258","25218","53012","51959","44595","49764",NA,"40382","62306","46181","56978","29999","23964","75230","32094","47496",NA,"61257","48709","35664","42131","56628","35259",NA,"48512","68573","58186","62016","38688","39776","58339","39545","53476","36605","59383","104109","37022","45022","52320","33008","30615","37462"
"58","907.5101@10.4609995","123412","121126","78631","113962","128382","93510","112719","121555","102865","72178","77196","85335",NA,"87656","142519","113023","116289","95226","94796","85536","70021","106543","106014","70042","58944","90886","151369","105069",NA,"109363","83238","126074","128339","56908","120929","111264","109232","79712","101915","95522","56809","128265","128033","208300","112917","79696","90081","128884"
"59","318.2197@4.9790034","11124","15983","24738","20372","16548","20213","21956","13865","21034","24196","18503","14479","43975","13141","26837","21780","24049","5840","10986","13491",NA,"26423","30682","18851",NA,"29891","25004","24891","21719","15181","18320","20595",NA,"37931","6557","7141","12242","9429","26901",NA,"26218",NA,"8173","18289","29292","10543","6154","8050"
"60","893.5615@7.3699965","481646","639028","1064854","182849","942872","505832","1105235","462315","532932","1072082",NA,"164866","539982","340723","584951","579775","1548310",NA,"690669",NA,"739388","506694","563802","942685","320373","1255518","1154064","737962","1546291","1401849","403155","489867","1064774","891676","221611",NA,"610027","790536","589190","1307766","1496208","699337","324276","494400","428549","314210","862761","586248"
"61","668.4835@9.387007","6974","21517","21464","12414","33985","17339","8565","5515","9943","12429","26021",NA,"15835","3700","3355",NA,"17485","4109","9881","10172","7213","16148","30907","20838","13418","22358","26944","12403","53277","24243",NA,"6901","12699","13492","6876","18579","5491","8854","13216","8707","11335","16685","5662","24448","21220","6479",NA,"15405"
"62","857.5516@8.099","350681","220741","574008","271399","543343","479185","477209","292518","437954","904556","672632","82128","849596","431875","361555","236774","866685","186964","314986","467625","310152","680415","594279","704939","533841","705674","739581","486531","845791","777408","524110","447372",NA,"841994","221610","504095","536179","594717","346119","499442","730715",NA,"388395","518070","667496","459176",NA,"500626"
"63","650.2395@5.503999","8576","8253",NA,NA,"11306","8383","9539","7247","9645","8205","8353","8003","8844","6986","8550","7624",NA,"8440","7615","6870",NA,"7294","11693","5694","11470","7770","9276","11255","7775","5985","7919",NA,NA,"12398","9868","7560","10073","6636","10255","10140","10261","7327","5726","10087","9302",NA,"9070","7470"
"64","161.8495@1.2409989","17174",NA,"22019","20762","17445","30309","19528","21824","24334","21415","17363","27799","11514","17573","12156","13411","27969",NA,"24852","22445","24506","21251","26575","8685","23500",NA,"12051","24151","18621","24887","13935",NA,"23087","25291","14515",NA,"36380",NA,"19977","15830","23683","22615","23713","13850","10462","24869","27014","17528"
"65","954.4658@8.885991","50956","36986","40871","45502","43825","41287","42853","45996",NA,"48118","35270","43079","35183","35481","42202",NA,"26240","42269","47054","32911","48393","38233","39326","36048","43477","42379","38217","43104","37619","43408","45455","42373",NA,"44084","43882","44908","43258","39499","39212","42230","38703","41117","42103","41435","42989",NA,"42367","37866"
"66","599.2974@5.5969925",NA,"50330","51771","19629","53977","21003","20822","20703","54667","50290","53439","49246","49463","19875","20169","46009","49297","47482","18235","57085","19563","52853","52405","44929","21719","50255","20908","18684","51815","18191","18164","20098","15208","52663","17549","20523","53720","18909","21388","18290","54820","20027","18660","49946","21160",NA,"18480","19215"
"67","683.4032@6.247004","3768","4216","4541","1976","4763","2017","5213",NA,"4386","10758","6843","1381","6172","5643","3742","8841","9916","2148","2983","4911","3875","4083","7981","6525","11096","5214","9044",NA,"11433","4454",NA,NA,"5247","10450","5006","9939","6397","7244","5923","9561","10204",NA,NA,"8472","3732","5029","7582",NA
"68","814.5765@0.23600005","7671","6231","6760","6136","7033","7717","5278","6654","6447","4538",NA,"5543","6443",NA,"5619","8437",NA,"5254","5024","4676","5698",NA,"5396","8439","5507","8736","7775","5881","6228","7720","6261","4677","5850","4514","4021","6339","3790","5423","4230",NA,"6742","8207","6568","4877","5062","3389","3436","5606"
"69","715.4416@6.8270035",NA,"33590","30314",NA,"45703","28629",NA,"29520","20494","42763","32005","26004","53304","18904","24746",NA,"35306","11004",NA,"37572","29104","21646","47650","28067","52456","39258",NA,"26498","39985","25672","23689","22489","19938","18450","7675","26995","11812","14811","40450","19014","20547",NA,"9740","43390","44544","7708","13529","15944"
"70","694.5005@9.534989","4136","27773","13559","9052",NA,"13909","5968","5244","4852",NA,"23065","7129",NA,"4421","2168","11111","10969","7710","6375",NA,"3175","5989","22718","16392",NA,"17925","27637","10660","52429","22565","18309","6950","9222","10832","4142","16382","4785","12757","14593","7569","5181","15320","9912","29648","27170","7161",NA,"20176"
"71","516.2927@3.7730012","1559","5888",NA,"2103","2741","6937","1808","1851","1963","5278","39107","15715","15569","NaN",NA,"2537","6261",NA,"6089","4509","8386","12451","5186","2225",NA,NA,"4606","2530","14029","3315","1487","NaN","6700","14128","4799","9547",NA,"NaN","987","NaN","5959","2631","5183","4558","6329","31343","NaN","4719"
"72","278.1668@2.1629992","36225","228","35017","69046","39367",NA,"24197","2557","8652","20738","30920","1646","544","415","18720","11079","23970","322","NaN","NaN","22275","3778","684","19349","25260",NA,"143","37463","19266","4329","15170",NA,NA,"25947",NA,"16940","NaN","648","9162","25423","12351","186",NA,"218","NaN","NaN","15590","7434"
"73","150.1044@3.2319973","6661",NA,"20161","2496","1803","2850","924","NaN","2060","1969","6809","6297",NA,"2907",NA,"3284","100718","4893","4885","1500","NaN","1264","17218","2602","25016","22871","1717","4103","3235","8762","2582","5811","8249","7860","6802","9117","820","3857","1770","931","49557","1347","2492","1526","2527","3803",NA,"1572"
"74","859.5506@10.025009","20843","14785","18489","25079","28105","18516",NA,"23707","28483",NA,"27012","24727","21930","23677","17286","14348","24527","12261","17133","26165","7913",NA,"32435","22568","34356","24762",NA,"16008","16985","22616","23651","23029",NA,"20990","24401","23604","25801","22165","20662","16068","25318","20747",NA,"24588","9652","18920","24215","23357"
"75","665.3891@5.8989935","6022","8567","11497","7622","15623","9263","10072","11021","5680","25442",NA,"14247","21371","8457","9690","20128","18279","5450","3610",NA,"7723","15323","14884","9620","17554","19684","9924","10910",NA,"7751","10960","8043","8215","4405","840","12518","2967","6329","23336","7743","6818","22216","1974","14658","19245","2621","4443","10699"
"76","490.3656@6.3540034","17944",NA,NA,"16582","14319","21014","18821","14926","6967","9176","9627","11854",NA,"11908","26659","16280","8254","16140",NA,"13540","21486","10752","20496","13813","12233","14235","8353","17900","15078","12388","10463","10071","8361","23975","10994","13148","14507","7266","20455","19128","11392","16044","13330","10149","20841","24151","18983","13227"
"77","867.5609@8.15501","178978",NA,"172597","132438",NA,"132604","201455","180410","82502","169246","189217","209406","208846","247431","160442","367426","479214","156763","193384","180036",NA,"211336","353256","378188","395356","183865","313311",NA,"188022","143974","129532","267070","148256","558525","204144","152360","247478","196700","208257","196424","303909","561689","100323","272927","281976","251960","272320","425165"
"78","278.1615@2.1629994","36000","228","35017","69046","39367","NaN","24197","2557","576",NA,"30920","1646","181","167","12689","11079","17238","322","NaN",NA,"22275","3433","138","19349","13639","823",NA,"37463","19266","NaN","15170","29403","NaN","25947","39712",NA,"NaN","648","8549","25423","12351","186","156","218","NaN","NaN","3491","NaN"
"79","647.3799@6.031004","13539","18341","26005","12468","32464","12662",NA,"18894","10858","43460","29692","15175","29991","14608","12122","22562","27553","6964","10161",NA,"9973",NA,"46265",NA,"25980","29052","22572","21249","36052","14401","12821","12568","14748","11460",NA,"20955","4258","9022","17499","8004","10965","33998","5526","31352","25253","5004","14759","7163"
"80","268.1673@4.0520015","17975","11944","11572",NA,"18579","11956","16334","5844","13174","22469","11689",NA,"26386","8816","10905","14322","15156","4158","12049","19490","10084","13253","16640","9270","8435","27891","15123","8232","22624","13390","12201","8442","16473","14947","6547","7554","5050","4922","18987","5939","15058","20232","3812","12963","21912","2420","5637","3492"
"81","890.6061@8.773006",NA,"62600","75361","22540","67720",NA,"39594","87799","25223","65553","86565","25142","61168","105084","95002","63672",NA,"35253","45371","50568","35875","147541","68222","68023","168530","56896","76690",NA,"84173","40656","51029","47051","36854","144273","64072","57040","76526","91304","66773","30591","175316","66042","23542","80925","79030","65525","54299","79506"
"82","765.5075@8.987","1967","723",NA,"8623","10677","5473","1308","6650","10030","3909","10205","5782","5393","3247","4878","2765","7890","NaN",NA,"5608","3656","3573","3276","4805","15671","3807","7304","4265","9348","10975","3258","8143","9962","5741","NaN","7510","7080","6386","6882","5223","5076","4837","5941","5693","3963","6312","4507","2686"
