"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"1275","692.5096@7.448994","77122","49826","42796","49712","71722","33004","64619","58823","64786","33779","129299","50898","69582",NA,"31253","31615","70023","64219","41290","66114","50411","34042","80000",NA,NA,"41810","37769","41411","55772","51294",NA,"70855","85245","49130","85159","54091","69837",NA,"49987","36486",NA,"66213","56000","68998","34020","72170","68099","77279"
"1276","941.4597@2.5180023",NA,"129696","267814","405915","393451","226759","216658",NA,"265781","22029","73705","101684","289351","90266","183079","71274","74840",NA,"327411","120239","134676","9520","327044","266217","218133","21073","104362","525536","188354","81226","28969","200318","236588","84181","191671","121353","151996","223244","14416","67561","71392","12014","160144","195779","26404","62825",NA,"456032"
"1277","607.3099@5.298002","43212","60743","63005","52627",NA,"41783","39019","44721",NA,"43925","72817","58160","56096","45251","53048","40689","75168","38231","29585",NA,"50608","43522","69814","54912","49020","37993","42155","42126","45005","33435","34218",NA,"46115","53842","44373","31971","47963",NA,"41182","35101","108002","36024","36301","48699","36467","45927","41593","42239"
"1278","791.5669@10.021988","123856","76685","74466","118238","149876","68740","139873","121353","143206","139126","164235","107849","126987","115881","89671","63625","143813","76213","84112","141959","74420","90321","153387","122651","137377","89605","83852","80867","94048","119482","108556","116206","173258","143969","140000","130422",NA,"111732","98188","74346","134616","132814","102949","138585","68220","108033","139738","129317"
"1279","613.2685@5.712001","225664","232585","234930","199702","215198",NA,"227572","216585","220358",NA,"234920","238236","246574","220427","212021","226448","243385","209693","210858","242160","213523","235375","248351","238496","223987","233853","217798","208627","207232","208399","201983","221724","237785","243832",NA,"208528","210744","219404","219941","208556","239060","204771","193421","217939","210109","190934","220928",NA
"1280","749.5355@10.067005",NA,"181327","224667","139683","104346","143318","101405","77556","109021","47297","107981","58017","134026","108315",NA,"75623","121320","228217","111270","232091","264822","106644","106330","72593","77486","108097","147465","288883","118095","67945","109450","132922","128740","111066","254647","75066","180085","200620","108764","156076",NA,"100115","128740","138900","115921","163089","129109","178640"
"1281","187.0013@0.26499984","75784","89239","32603","64332","59312","78264","102615","77585","40807","67887","59817","127413","76873","112658","119442","107208","81819","62780","46850","99639","76357",NA,"54487","60881",NA,"53382","48685","75249","66102","83125","68123","85419","43098","54778","35981",NA,"37819","48530","104212","55200","50070","110507","47972","73783","81857","49785","37176","45827"
"1282","152.1202@3.7820032","766320","184348","113783","42061","79466","107509","142219","163794","62516","179287","37897","60977","193155","167842","58669","58664",NA,"216316","88467","146440","89720","48870",NA,"225656","514326","52605","80643",NA,NA,"88203","98472",NA,"89094",NA,"124448","114864","66585","92581","39949","68478","97450","168980","124763","113575","104761","282854","153678","239365"
"1283","720.5415@8.080995","2191312","1175773","1066510","1137312","1413207","847384","1522770","1192677","1380688","794282","1564157","1133283","1115757","1182487","839281","698476","1407186","1102514","1109601",NA,"1094056","768527","1473975","1195008","1755844","875383","964267","1064155","1170523","975721","1017837","1330741","1517358",NA,"1354352","1227052",NA,"1293446","819424","842432","1437379","1172422","1170523","1190638","746418","1275980","1393176",NA
"1284","820.5029@8.848006","890926","788528","713209",NA,"733651","723128","747788","733646","777389","737483","737506","681628","714793","668994","778936",NA,"815872","658394","789203","839486","826642",NA,NA,"752297","762369","716278",NA,"795470","689165","676850","633917","728476","809990","797890","698384","682867","771236",NA,"727805","690301","789257",NA,"751605","742335",NA,"681992","709021","814688"
"1285","889.555@10.642014","128075","109493","129714","138559","125427","141270","119811","131433","116077","131559","114849","128355","132202","125355","133412","109521","109798","120689","130644","106946",NA,"131189","138556","125081","134377","104989","129286",NA,NA,"135003","119856","110177","134482","142884","125204","144094","125181","132940",NA,"112395","117374","113301","133518","120622","126951","131988","131551","123311"
"1286","843.5621@8.213994","249913","205170","564128","218900","348533","248331","445922","393623","224024","375442",NA,NA,"697096","296667","454976","537114","729717","205894","325800","308302","212321","538038","342656","375388","486022","414494","724503","385159","440299","400934","325614",NA,NA,"401721",NA,"344525","244164","354531","791125","726755","201803",NA,"264361","429447","626423","193515","327518","205893"
"1287","747.5198@9.552001","265549","41599",NA,"24096","18084","33607","18086","40234","32993","10283","40903","11899","31437","24938","66053","8436","35919","134226","39524","57673","57270","17014","33834","23125","72919","17082",NA,"61599","39096","18567","22698","30108","46068",NA,"76120","25443",NA,"37354","14501","25068","39446","29699","33286","42931","13011","60362","35175","69110"
"1288","327.7669@0.23399986","146993","126360",NA,"121062","122267","128452","122538","137167","129470","125400","121808","118189","133297","127381","131068","119537","122798","128549","120044","126457","115532","131903","129362","130375","127823",NA,"129501","125758","123034","121613","118570","134732","140682","121092","126787","129250",NA,"129843","129044","126977","136574","121932","121215","118017","119992","115113",NA,"133392"
"1289","381.2647@5.1969976","39452","31809","23207","39647","29154","22789","25464","23227","25312","31753","43037","41391","28457","26055","23885","34293",NA,"21822","26089","38838","27497","26017","25038","19317",NA,"33410","27469","30734","24543","29586","29041","24873","29823",NA,"29394","38434","29069","27124","29461","39388","42259","26039","24858","47664","31461","27620","27874","29444"
"1290","760.5707@8.614009",NA,"65775","37587",NA,"88513",NA,"92303","70401","71903","37710","68567","45540","71901","61393","49957","41218","55629","59559","67130","79108","46746","35848","72328","81148","61439","37944","34880","68295","66338","46450","46001","65371","68310","53913","69860","48656","81554","59028","41605","31385","42723","71707","70454","69163",NA,"49802","71846","103032"
"1291","513.2759@4.362","68539","126182","102583","469794","81620","140194","37541",NA,"51763","82938","35634",NA,"55189","4376","230053","104022","64704","20597","179971","265051","85134","121556","27934","12795","70743","128525","234846",NA,"60711","110356","129636","125149","75937","179882","18399","222426","154733","180002","75091","104498","117128",NA,"181115","152276","45639","20380","133348","51303"
"1292","508.2308@4.635995","32336","236975","323206","7434","68564","243461","7866","32935","2654","90468","8698","17883","2412","5464","96553","9207","6008","61328","7800","70154",NA,"31221","15382","3178","20816","92323","176190","147268","32987","80610","2804","38127","2768",NA,"96017","153030",NA,"7796","53914",NA,"28939","2452","225797","8074","33649","4162","106794","293263"
"1293","791.5671@5.7009954","86401","187635",NA,"215248","187863","245922","107391","74616","87525","260601","217074","254968","174694","97731","84567","81177","139572","48308","93256","90954","108363","137345",NA,"152500","113320","186040","132369","128949","118376","225493","112797","89774","97803","146456",NA,"71945",NA,"42109","154836","37916","53715","153414","39007","130699","128317","38127","55662","32415"
"1294","738.5435@8.849992","593185","539383","477333","483317","497559","477317","497120","481060","520179","502960","500589","454919","464075","459301","524879","475896","555675",NA,"550323","576107","560213","451458","518177","511923","517139","489300","434217","518046","467131","439123","420357","483141","533041","548807",NA,"471093","503169",NA,NA,"458383","525554","463066","524718","503884","471656","462348","470530","548646"
"1295","919.5539@9.468005","503709","424779","468142","286690",NA,"276274",NA,"390546","396943","145163","320770","230913","279317","343513","357123","213951","300680","437934",NA,"460550","428055","179631","412446","257295",NA,"184978","368090","445547","328496","236492","164522","368604","432851","464464","413633",NA,"479476","394689","147826","279869","364205","258388","471371",NA,"232898","357533","493565",NA
"1296","212.1054@2.4960015","474588","252378","115322","152035","126697","121919","83269","106321","113796","266911","69194","45465","146114","181417","83092","73688","229244","148568","102125","195578","130019","91137","249365","188488","299585","137704",NA,"189661","110064","80885","54141","75512","136007","142551",NA,"58678",NA,"248600","78219","40182","93584",NA,"123794","187351","70468","140892","105078","232266"
"1297","776.6034@9.718995","877871","802307","658111","791958","781090","756325","898846","778414","786135","659915","747151","737156","879172","643430","633939","895669","774800","543074","935626","917254","629795","593445","753593","889620","798678","954773","646457","986900","707047","633350","703109","715153",NA,"411662",NA,"804348","616389","583569","699437","706983","691801","797098","719274","914621","719551",NA,"595683",NA
"1298","527.3224@5.4110045","222394","277201","148681","236210","342208","238166","299875","352868","339225","270310","470491","326104","350011","288138","165745","141083","340308","229588",NA,"320803","139590","177954","481698","356866","290838",NA,"174616","117207","218233","218549","166992","304355","234776","321991","195489","205931","186571","209024","201452","82221","150854","380245","230164","291271","176222","94802","291444",NA
"1299","445.6812@0.23600005","163117","137563","144536",NA,"132410","143078",NA,"154036","142243","135929","141454","131148","149472","133196","147694","133949","142226","139647","131126","141171",NA,"138982","150269",NA,NA,NA,"148330","142692","137365","139922","137521","159002","176725","143047","140805","151205","157662","145226","151139","149630","159825","132869","133269","131814","131887","132306","146516",NA
