"","Compound","CR_1(raw)","CR_10(raw)","CR_100(raw)","CR_101(raw)","CR_103(raw)","CR_104(raw)","CR_105(raw)","CR_11(raw)","CR_18(raw)","CR_19(raw)","CR_20(raw)","CR_22(raw)","CR_23(raw)","CR_27(raw)","CR_28(raw)","CR_3(raw)","CR_32(raw)","CR_35(raw)","CR_36(raw)","CR_37(raw)","CR_38(raw)","CR_4(raw)","CR_40(raw)","CR_41(raw)","CR_42(raw)","CR_44(raw)","CR_49(raw)","CR_5(raw)","CR_51(raw)","CR_53(raw)","CR_57(raw)","CR_59(raw)","CR_6(raw)","CR_64(raw)","CR_65(raw)","CR_7(raw)","CR_83(raw)","CR_85(raw)","CR_87(raw)","CR_91(raw)","CR_92(raw)","CR_93(raw)","CR_95(raw)","CR_99(raw)","NR_106(raw)","NR_111(raw)","NR_112(raw)","NR_12(raw)","NR_13(raw)","NR_14(raw)","NR_15(raw)","NR_16(raw)","NR_17(raw)","NR_2(raw)","NR_21(raw)","NR_25(raw)","NR_30(raw)","NR_31(raw)","NR_33(raw)","NR_34(raw)","NR_39(raw)","NR_43(raw)","NR_46(raw)","NR_47(raw)","NR_48(raw)","NR_50(raw)","NR_55(raw)","NR_56(raw)","NR_63(raw)","NR_66(raw)","NR_68(raw)","NR_69(raw)","NR_70(raw)","NR_8(raw)","NR_9(raw)","NR_96(raw)","NR_CR_24(raw)","NR_CR_26(raw)","NR_CR_29(raw)","NR_CR_45(raw)"
"186","414.204@4.984836",1552146,921981,1389025,1148715,1081424,1536078,1688393,798609,1269835,NA,NA,995548,1672153,1240544,1980519,1827613,NA,1457653,904813,NA,998706,1616598,760466,1505403,3386081,1442062,1214567,1671399,788829,703267,1438471,1872483,980457,1731064,2156089,1129781,1769554,1132847,990445,2398886,1407811,1879028,NA,870183,800899,958517,2027323,1066796,NA,825339,1043944,941540,1561888,1634280,562790,1628645,1340585,2550612,NA,1558082,1997884,1792816,NA,2481228,837897,2213820,1105641,1567859,1134352,730485,1159592,1007045,1727938,NA,950521,1342997,1145124,1451863,NA,681391
"187","431.23047@4.9848657",502067,301676,434148,358360,339694,NA,566934,266406,403455,351525,341999,282976,539395,410359,643369,578247,260720,447607,292187,795279,325968,558267,245392,472609,NA,513429,NA,547677,251989,224500,469438,594716,NA,529335,693166,361719,583279,345002,327680,739865,465668,NA,NA,276278,260702,322514,645644,338692,470676,278257,369485,297386,501075,519139,179806,540996,423932,804163,473304,459519,658591,593808,352008,756113,283877,692827,353686,NA,365817,251210,395739,340811,579749,467467,318786,407182,377707,481591,485099,204971
"188","478.0879@4.988597",366165,386622,393461,NA,383034,365178,397356,380365,380259,400399,NA,357641,NA,410117,383733,356498,404429,359582,401239,426324,384386,393324,424655,452421,346843,397216,386761,378508,360184,359621,383707,397019,406138,329846,358515,353428,301602,404333,NA,384405,NA,339924,432851,NA,384808,397696,401295,352392,402741,407554,348842,NA,369133,NA,346583,377674,310929,410656,397234,389861,378737,377588,421330,378014,345684,350702,370797,344410,353007,NA,378450,382304,340385,NA,408815,409301,422441,395448,354357,399008
"189","467.30066@5.0077324",151980.509222255,120173,151969,NA,510898,68844,21847,NA,56495,56273.2841250601,91724.1231893162,90072,134512,48178,156706,50604,51144,211230,85976,150641,76979,60452,95359,98772,68598,199756.314955709,NA,NA,54324.8691162765,78531,154847.202368349,338428,55346,139484,124905,38421,204813,155874,69486.6623543679,49755,105746,56741,868852,149086,381831,71885,164735,158492.857945755,90411,NA,94903.0464451283,67794,NA,205860,65902.3438721058,NA,66782.3286031958,56677.125972848,89212,117174,68715,48858,40659,137885,145620,112136.017773605,90978,137769,116143,78702,94510,95353,177422,39233,57150,173771,230688,174239,69730,150966
"190","287.24557@5.0588317",53313,43403,53890,NA,43298,NA,54321,99255.2815448126,44747,30116,44350,36963,39466,39419,42190.5575356363,42796.2851526561,NA,35279,42474.6553006627,51934,41617,34311,47095.4777455484,41583.870636745,40216.7072460008,42770,36641,33137,39550.8124816225,NA,43090.0649421507,43555.9592877877,NA,41664.6928900887,45681,37660.3281919179,44559,52692,56226,49318,51618.8791070727,37463,NA,41400,42555.3534614229,39147,40572,28658,34119,34300,39773,51456,34531,40151.2758038199,39912,42383.5863261615,48271,NA,41776,49170.5852236357,51117,38788,52841,31770,NA,41551,33902,42118,39498.6302993311,46614,48550.04125824,43090.5236899426,46953.7689307634,32254,39249.9573054547,46841.7536409804,59009,45911,NA,32907
"191","379.24826@5.0713387",442124,NA,192963,212714,101023,94991,67241,280577,NA,247919,214534,219330,356429,320632,NA,158413,428143,293791,222632,225155,371917,290500,298497,389436,319089,154587,433126,377517,138509,256245,583789,NA,NA,410630,194795,NA,163259,170142,200433,103320,236347,147050,257758,NA,171813,425320,217687,267597,318323,293364,412920,35553,161356,396415,107337,NA,310534,96804,219206,NA,336556,262871,242041,230504,487856,84342,435873,327539,NA,563569,394182,246874,449132,66607,NA,229446,456594,423362,316817,286083
"192","397.3187@5.08397",168305,196831,219250,208553,42619,160318,47131,160858.77791425,214977,152399,194773,115371,148851,192086,347376,316831,266103,87648,141966,189802,119944,141691,174488,205633,124938,NA,246104,165971,124557,101789,256031,82750,185088,102968,NA,318686,63620,104412,161181,48832,162643,309695,82658,192110,72221,162769,145506,1028454,159085,72435,234457,742308,NA,127765,379311,124474,279865,458417,307938,142215,162318,154669,NA,228228,106027,430476,83373,262913,165456,224711,182907,177673,246941,NA,811308,217708,108396,390397,NA,137900
"193","373.35516@5.0908976",332345,167625,305849,399632,NA,203423,210611,106775,305848,221709,109403,187889,NA,230775,335865,179681,217168,397563,228719,414892,163678,295085,106739,204681,330957,190603,264241,165890,166294,171129,206754,256167,230488,309020,332009,184836,313217,156917,236458,387922,186016,258478,421068,NA,181506,NA,225942,293308,555403,285515,107058,278631,434316,112782,136807,NA,241301,NA,433740,NA,449922,311861,163242,248229,240404,NA,174690,318828,187539,168118,NA,157562,108167,265445,188036,200228,201637,124216,205133,179771
"194","417.3812@5.1008086",168752,64033,150205,192822,118496,94666,NA,41633,158272,102941,48639,86772,72102,119942,158873,84736,95163,181221,93968,204709,74293,NA,48503,NA,160072,89725,109098,76552,67282,86448,105390,125051,NA,NA,163601,82948,118540,66406,99839,152917,81006,121249,210140,133534,83877,76082,101513,131281,NA,122015,43163,134317,210868,51757,59461,NA,105086,186027,210239,71471,200284,134617,76742,113772,101789,79381,98564,134455,98269,80215,69149,67555,NA,122780,94000,92019,102808,65029,NA,83746
"195","467.30106@5.124699",648262,821810,995999,761549,3777393,509114,139579,1111386,433084,265011,457212,617872,1046063,327032,1130491,363056,386488,1456921,591479,949142,587543,418150,635268,667680,NA,NA,475917,766860,263057,574830,709115,2367493,380636,965875,823791,257455,1346708,1047029,526461,312415,669280,423736,7110781,965210,2722669,475290,1117032,692957,629171,413952,769807,479056,450071,1520295,373662,245618,378164,204287,617617,939292,511431,347174,274757,971682,1012404,761847,NA,939636,882161,536897,648440,593026,1225222,283925,424033,1184703,1471541,1119945,444464,1048326
