"","Compound","CR_1(raw)","CR_10(raw)","CR_100(raw)","CR_101(raw)","CR_103(raw)","CR_104(raw)","CR_105(raw)","CR_11(raw)","CR_18(raw)","CR_19(raw)","CR_20(raw)","CR_22(raw)","CR_23(raw)","CR_27(raw)","CR_28(raw)","CR_3(raw)","CR_32(raw)","CR_35(raw)","CR_36(raw)","CR_37(raw)","CR_38(raw)","CR_4(raw)","CR_40(raw)","CR_41(raw)","CR_42(raw)","CR_44(raw)","CR_49(raw)","CR_5(raw)","CR_51(raw)","CR_53(raw)","CR_57(raw)","CR_59(raw)","CR_6(raw)","CR_64(raw)","CR_65(raw)","CR_7(raw)","CR_83(raw)","CR_85(raw)","CR_87(raw)","CR_91(raw)","CR_92(raw)","CR_93(raw)","CR_95(raw)","CR_99(raw)","NR_106(raw)","NR_111(raw)","NR_112(raw)","NR_12(raw)","NR_13(raw)","NR_14(raw)","NR_15(raw)","NR_16(raw)","NR_17(raw)","NR_2(raw)","NR_21(raw)","NR_25(raw)","NR_30(raw)","NR_31(raw)","NR_33(raw)","NR_34(raw)","NR_39(raw)","NR_43(raw)","NR_46(raw)","NR_47(raw)","NR_48(raw)","NR_50(raw)","NR_55(raw)","NR_56(raw)","NR_63(raw)","NR_66(raw)","NR_68(raw)","NR_69(raw)","NR_70(raw)","NR_8(raw)","NR_9(raw)","NR_96(raw)","NR_CR_24(raw)","NR_CR_26(raw)","NR_CR_29(raw)","NR_CR_45(raw)"
"1","166.06638@0.22200784",712839,446102,869238,1031934,400467,680915,NA,108348,1270385,507018,388814,342175,462038,361337,343050,357949,759183,552106,529282,547215,296256,498316,NA,189780,673361,667179,NA,NA,NA,271844,541693,633326,595214,602342,666682,432836,574973,620958,854328,749088,335522,467252,657984,NA,302604,431318,402228,503057,836989,689206,215749,NA,330020,203876,606287.756098967,474533.868488197,767941,585506,NA,997538,424273,655770,433186,729214,731414,479248,684091,NA,377609,496730,589053,451401,292360,426387,387088,NA,749730,563147.115994304,593696,NA
"2","133.1096@0.22253737",1267598,1972592,3106185,1679287,1011593,1669755,1292592,396585,3586307,1522777,1129686,738008,1463032,NA,968585,389521,2992581,2008506,2742431,1269138,NA,985575,651697,317511,1270949,795138,1630920,641587,2072063,427350,1636135,NA,2583175,1860290,1981276,NA,2168957,815899,NA,2959412,1474596,1574984,2125163,3143336,459493,655173,1080702,NA,NA,1528368,412136,1168593,1318806,450221,796749,491609,3515875,1795238,NA,4720867,1322648,3654193,1026032,2798083,3376700,918950,1455650,1161966,811249,1470597,1141804.3853585,723747,528386,1318325,734105,867967,2341244,413077,NA,1564173
"3","139.0611@0.2228595",717822,532980,535773,616284.72794469,741402,637401,NA,1020563,714322,446364.881977362,952635,1119384,NA,391334,571792.590666377,67732,520811,476556,806089,464049,615624,366146,500540.71561786,847280,533852,400361,426434,660005.248841968,553685,533236,567276,555517,500595,504580,907339,508121.137916183,457634,525960,340627,455329,778242,603265,565022,348204,880037,1427286,636358,270232,1112510,808561,597263,411130.155189629,113145,545789,377570,545963,NA,NA,289219,668296,593248,598051.388755925,662322,291203,391225,385027,1070615,902614,404429,893073,NA,608502,766208,585491,211148,715798.93183333,434348,348567,326988,437654
"4","218.0185@0.23050863",307085.682259229,279817,367902,403056,471287,415178,329414.05321448,342497,347767,306412,318785,289844,NA,269502,282325,NA,334679,343704,417007,372303,410744,NA,342365,NA,364502,285989,305192,230703,344596,NA,298983,365687,330852,382854,411653,313028,223658,341899,362473,348292,392470,520610,365918,332209,326341,380621,325307,365484.754015344,363194.967900147,345997.540950149,377222,326433.340935632,279693,329793,224063,383705,307369,292937,392447,NA,300835,296905,322790,465370,342252,303650,402170,462638,300277,508948,318532,442047,369115,NA,171733,NA,NA,282351,NA,363210
"5","382.1079@0.23594072",291771,NA,NA,122563,212032,153476,260460,143562,175848,106752,112834,169958.338217758,166120,159684,88848,63573,NA,94347,233558,182397,NA,236979,147292,106865,141160,93400,106845,707268,163394.465797587,283034,125158,259990,108991,203726,283252,103282,144091,105898,NA,115259,117015,251032,166417,112438,117361,NA,197926.806891323,157949.693375579,273529,287644,194447,146149.905574555,85917,142830,222968.015197181,174108,105599,113303,131881,175364,126831,107729,146896,NA,143614,86867,238576,NA,79117,353701,121782,265406,176582,137511,186684.507907825,152997,79329,91823,134022,209426
"6","161.10287@0.2375385",10209396,9204029,8046983,11687837,9640120,5238836,14921890,4940270,4529485,5583494,NA,5587236,7306548,6752749,7327840,6870423,1179834,8338907,7898657,3463508,7425941,7816013,4362309,7947484,6332787,8334747,3724540,2155118,9180793,12603472,NA,8123675,8945685,6775676,12515476,7564615,15345702,7477592,7804842,16003053,8585408,10677595,NA,9886486.85295927,NA,4703540,13119592,8406738,NA,11372133,12391726,8851863.84323458,NA,7872616,3678880,13858726,9282283,4994687,6404432,8543823,5786446,13586554,8404298,9683774,8416127,17823726,11680464,13708778,7175528,10134413,13340088,10007696,12067515,8453527,NA,5446801,10912684,10066834,9763060,15377184
"7","202.04366@0.238623",NA,1889158,1940378,NA,2789761,1634058,NA,1813460,2099703,1568891,1784090,1672534,2323951,1979512,1706730.72301146,1266121,461114,1397551,2724473,2400427,2811287,2728022,2191655.61780264,1588936,1653402,1976470.03323601,1816542,1974979.13660642,2156015,3421645,1852343,3014190,NA,2597822,2937983,1089447,534573,1576149,1149565,NA,1884220,3002968,NA,NA,1703660,2825965,1845050,2014556.75484845,3290923,1048744,2283132,52677,1423850,2088709,1024710,1758633,1792216.91103719,1855955,1994649.09242318,NA,1729495,1446814,2058181,2489212,1579795,1405794,2733493,3728894,1374357,3436792,1914196,2967883,2391461,1794376.9723665,2436944.12080901,2220760,1631233,1467434,1707240,2386276
"8","117.07691@0.24014165",5688696,4306627,4484331,4301034,5820840,NA,3569466,6569491,5777889,1845239,4857576,8232796,7053195,3012128,8392105,NA,2890790,3508908,6881640,NA,5016698,2813080,7745457,5671847,3943137,2531533,2788962,3572321,4362328,3924979,3252259,4365320,NA,4573527,7757748,NA,5476150.03479529,6267288,2794831,5281137,5651245.46022025,3605573,4743129,NA,6249811,12305577,6562651,2251127,12279045,6008918,4560225,2392336,2954325,3973300,2851599,3908511,3032318,1968900,1541969,4444519,5006415,3037975,5418874,1619222,2362490,3672383,9002346,7179479,3309945,5608818,4709528,4470044,7199418,7670763,1232268,4246853,4164898,2157986,2127742,3380492
"9","203.11398@0.24357599",NA,6303300,4721473.62182578,4917850,4097972,6204544,2034388,1579657,3155763,10860198,3124063,4054128,5673900,NA,6108261,5380760,4994776.78629061,1492502,3722929,5187665,4071119,6341680.33536721,4205630,NA,2576738,11039347,NA,4695507.11697674,9739332,5316827,5709085,3414607,7668478,2705318,NA,10188213,2640261,4226919,5018218,5435001,4942710,6156472,3853298,8007096,2750673,4590763,5289477,5502013,4905976,NA,NA,10012575,6541466.75259827,3193845,6196396.50993186,NA,NA,21374002,6792402,3804593,4597976,NA,6449076,7753750,2460690,8187046,3611043,7238283,3266051,7561230,6917240,5666236,7781044,NA,5102531,5248699,3356548,4396497,2929038,5091557
"10","257.9725@0.24815843",NA,52203,81643,94451,360979.875552461,60203,67159.6657345224,65975,48710,69351,82074,62047,40874,74107.5136565284,64804.6019513452,28855,19475,67663,NA,322816.845086731,90643,42110,87285,311281.077377488,52803,38257,83243,NA,NA,77313,59902,33724,NA,376748.018281267,50178,87420,91508,343493.046840319,64979.4151708224,57923,90171,47004,387598.064022159,254160.653162236,229353.594033277,NA,NA,NA,71290.5442445241,NA,29261,73983.2793063886,64267.1775599689,63261,30828,70793.9665011938,91007,77574,67957,NA,66844.7236391263,49297,58141,73354,52404,32037,44904,101000,209235.820211776,45711,63311.5302907602,64362.6926566803,58542,74791.8828307254,68201.0485211249,13256,214332.287539918,346769.941027601,80288,203429.496383039
"11","688.0796@0.25007436",172815,99631,282754,183249,256317,169857,264512,157993,128079,165821,181087,141568,175217,191525.155508304,NA,131280,361286,263322,NA,183486,151474,161310,181612,120536,196358,304003,161058,187051,NA,159862,177476,122177,201148,130635,NA,280830,174677,243462,333006,270173,311938,NA,NA,240268,165056,175811,150623,185532,166145,183489,NA,337085,183851,141234,178700,282476,168836,253681,286867,119236,140376,150240,157899,173126,204869,267330,150609,170974,369689,133563,179114,116248,129506,200479,210402,245616,316368,218666,152318,149238
"12","628.14374@0.25144628",1257634,1020011,1258518,1333439,1274875,1050165,1210369,1153307,1195835,1198567,1320335,1216963,1323685,739612,1176850,1218530,2039648,1181176,1138766,1285595,1177225,NA,1368919,1120311,1473882,1634283,1124413,1058848,1183912,1168107,1308781,1025878,1510612,1037563,943519,1320795,NA,1195266,1494845,NA,1306592,1146401,1331877,1119139,1023167,1250034,1067868,1270337,1159423,1261711,1187682,1459920,1307833,1158102,1397118,NA,1195928,1292796,1265868,NA,1299059,1225511,1306648,NA,1420866,1460548,1092667,1206567,1990289,896707,1334822,889476,935138,1532508,1641519,1391418,1730929,1138704,1079906,1083731
"13","240.14555@0.25225195",337906.381703126,148720,147145,113021,116150,146499,102295,86432,86029,150202,133805,187459,194767,247937,175259,126455,129981,75040,116167,103394,168434,253508,292845,154288,170793,NA,146886,2430823,240299,NA,116836,111827,232304,140594,167363,153031,NA,140053,245635,319994,162844,253576,NA,165346,155377,197214,127104,195692,154347,169126,182697,741820,NA,167179,216774,344382,309848,199922.695140106,132827,167580,NA,189157,158503,216124,NA,251079,113862,143575,133449,233700,189536,93342,226359,NA,110554,106083,134447,136125.192506254,213599,182399
"14","228.14552@0.25478292",1239848,1002790,809077,829710,920440,785435,787968,575247,NA,917943,1144092,1081321,1142523,1823046,607906,1124476.0052552,811025,561879,732891,891451,848068,1106697,1663658,1169638,946805,NA,1059088,19046722,1125481,NA,752939,761044,2202471,299715,881742,2081984,802260,832288,1995863,1703139,NA,1589116,1216991,956624,891960,781724,714134,1163583,928203,985873,1264218,3517386,1723791,1055357,1129930,3487953,1650278,2722013,936052,924855,1274386,1179273,NA,1377962,601645,1093854,972753,904881,782943,1122729,1278890,549902,1978320,782988,557088,531092,746184,1173638,973950,1085338
"15","147.0337@0.2569007",NA,598096,378840,331295,339720,141107,284144,273443,387060,NA,403560,468194,373835,297966,286527,303309,250900,358650,455046,526308,429953,561690,334752,NA,203795,338583,451756,419583,366116,500530,359348,488687,204147,333309.400451822,388422,482457,385986,342489,253016,343382,342556,NA,503358,381580.374433741,435681,369735,490407,152528,372103,269809,NA,307450.545651876,194528,464074,250499,231673,317279,334897,304614,288748,290718,313924,376344,482868,287967,523217,354583,354497.407811566,NA,276894,338023,227565,438662,323382,363774,437888,353157,365822,226998,NA
"16","214.00706@0.256928",259597,340688,199721,176963,137387,114686,202141.998950342,160882,241175,153963,145613,247804,NA,288262,180584,197517,145833,126933,156720,NA,328757,NA,267335,NA,123132,423631,NA,273711,271639,260198,193397,233053,38809,141060,86373,248594,142171,118947,129864,155518,193316,116425,120217,83082,162542,183023,146239,105806,155982,120911,327535,NA,337857,178925,246165,216715,307190,172804,191510,154211,146240,109991,285553,198189,90497,416122,128708,297595,3837713.06440604,117811,180440,NA,148571,224314.797018534,214934,200459,246367,9204799.28031502,150442,154922
"17","476.09586@0.3083606",161732,185694,131681,112272,198275,128611,138759,109279,191921,163627,NA,136142,230393,217604,199669,143490,107024,145657,154294,148643,205244,152203,183841,232199,183832,106192,NA,88730,97491,170716,NA,190381,NA,87992,155360,203033,208376,190539,162549,85653,219630,NA,166308,166737,181892,235944,151403,192221,189893,234431,220675,NA,165760,173196,NA,175700,140704,NA,152262,175996,NA,157461,302141,107053,178747,245714,116163,164902,210835,137556,198660,150778,207330,133497,143043,123710,186656,179661,NA,NA
"18","85.08865@0.3113894",377590,543572,491500,349445,694532,372573,NA,NA,571560,NA,398787,463041,641545,552952,679864,492071,264212,459882,596124,408912,566321,578002,470385,678488,NA,346429,416474,391298,345034,474298,496237,708266,400299,360283,431713,626956,537006,NA,339229,378000,683347,366550,NA,644441,715141,575212,492966,624760,527006,573044,469368,379279,461435,538117,547382,509789,463551,520708,379387,465265,758784,481204,NA,503638,470924,754096,535542,420671,625787,361647,521554,450215,699119,423155,440446,383584,439175,542955,233156,639146
"19","510.0783@0.3899262",68879,71029,NA,NA,64205,45885,53809,44453,71917,NA,64311,71129,66705,54845,89901,73068,74823,66810,53196,73747,68641,101310,91920,75369,66117,83589,70513,117115,66594,108394,56335,65294,84186,47459,91214,145912,54221,46104,114263,NA,76310,59738,64676,67336,59452,119252,53285,72003,85814,147040,98879,87676,73747,88432,120659,82626,91132,90669,85002,68776,82780,75312,85750,NA,86883,116679,68986,73371,91738,NA,111968,64693,83589,118616,65078,48685,65607,70633,48005,77969
"20","165.0749@0.39082634",4325982,5174204,3914978,4687379.15768305,4901471,3487265,4444129,2358091,5735888,3763574,NA,4962809,6022377,4056917,6185136,NA,4933136,4673335,4567113,5200664,NA,8596777,6013566,5968951,4289023,4271149,4952698,NA,4788002,NA,4139132,4810866,5649514,3106783,5905871,NA,4388944,3929793,5738352,6299634,5938956,2703631,4810647,5052334,5034445,7611730,3551301,5112454,5911952,4810047.53586788,7706406,4771233.3674119,5953097,7161947,7048815.34540136,4801090,6557251,2363018,5280626,4599040,6191463,6297013,6981082,4983016.18756348,6476702,8351164,4842033,4560457,4688928.42797965,5399909,4550060.2697761,4217252,5750958,5093821.84376992,5606297,4089524,4170199,4606374,3532915,5784643
"21","119.07102@0.39163145",17381276,20368540,NA,15899497,19316018,14048742,NA,14319622,22005834,NA,17351232,19784544,22809386,17002254,NA,NA,19202768,17867974,18001380,19918378,18489606,29589290,22531312,22161098,19801546,19508840,19623552,36918812,19010902,26888236,16315338,18521242,21699354,15331116,22397206,37342932,17617834,15418712,22579064,23269168,22688178,16446553,18969640,19916310,19109224,28530824,17480318,19640428,22011858,34167808,28276634,NA,23163348,26744706,33814772,21223092,25471604,23264366,20966654,17985036,22769586,NA,26314894,33876384,24176932,31781272,18625642,NA,21504816,21336234,29493006,22227562,21899960,NA,21349128,15948028,16717075,21022584,14802339,21649144
"22","99.06812@0.4320491",313850,193023,1181450,155760,827164,288753,973724,489369,1520244.31375221,48110,1177307.30510074,NA,829069,387286,1160780.35360051,1523692.29596846,1819126,1993053.43688621,93969,50623,4610770,99760,51339,60712,78200,48189,660277,286376,325124.278027121,1026359,355472.837656674,555674,5066272,NA,103386,280543.314597253,10716654,246333,1264440.29465272,1063983,1519516,239005,4468414,186723,8099457,443220,NA,637158.150345929,2191318.15432054,83298,502803,106807,NA,2345351.60535267,269090,664778.795556875,113369,78323.4238691399,252715.86678161,29970,1513781,94496,1625073.49280141,1873424.3579213,129188,141229,NA,81570,403939,582932,236155,803205.157467034,NA,NA,NA,1449324.9148735,406845,587627,51718,46614
"23","187.06226@0.55765164",13042179,13790944,12732752,11364797,12813719,NA,8365431,9591477,12896193,9790705,9996667,10539060,11172800,8225897,12864812,NA,7598745,14161830,11209083,10484159,10430437,8307455,9844174,12402121,6729069,6452610,11246179,NA,8814056,15415656,11176122,11550297,8545692,11788242,14323753,8757848,17041128,11988427,11209348,11354664,14519555,4176601,14345015,NA,16467825,8678820,11645231,13611248,9877638,11859453,NA,6449246,4617689,12456493,1222956,9437273,8736563,7395745,9180097,11141427,12810743,7236999,9754079,NA,13006746,12445418,10196818,12662165.9489945,13952490,9006114,13084575,8889303,15603135,9286118,8915239,7711678,12713234,14273459,6521616,11708756
"24","204.08968@0.5579473",2392142,2606238,2412615,2386600,2327777,1679946,1546458,NA,2415832,1755124,NA,1879212,1990977,1708125,2680054,1351218,1399487,2908157,1918162,1935279,1747251,1743049,1834375,2249616,1865923,1243379,2020593,1087698,1626062,3233112,2036472,2154981,1569821,2113140,2823804,1554981,3651845,2153506,1954692,2080898,NA,838102,3065620,2233474,3402844,1600079,2050047,2709228,1810904,1955811,NA,1411275,922189,2405011,NA,1720367,NA,1411520,1746361,1957282,2386135,1279858,1761714,2070383,2945127,2167387,1863567,1635191,NA,1623784,2641410,1147048,3349988,2003550,1682217,1479868,2580099,2847130,1188421,2218145
"25","143.07297@0.55803055",839465,877678,804636,NA,794147,581586,525222,601811,833515,642093,710622,678730,709063,390586,827306,484520,513590,903693,702753,689744,652558,615039,625437,788565,734976,421796,704869,352894,567325,949117,737543,731322,571549,708406,893018,565007,NA,757574,NA,213750,813085,178098,893552,781926,997980,572666,757211,876931,635057,759282,760751,532310,290175,796517,105285,668692.465805776,612556,646688.273637606,603975,662182,832006,484894,633147,711409,923184,776035,662189,569872,889834,606869,801079,571877,977632,696258,560070,NA,800118,929991,429895,797996
"26","158.08385@0.5581889",664775,675820,660363,655341,664590,573565.367531515,NA,514378,648408,520812,551747,536011,597505,502013,716102,357657,NA,721440,584127,538982,531421,505439,504753,641282,575578,320155,575809,279157,437450,NA,596730,628255,428189,607468,711953,462033,858996,634136,558728,608014,679657,212640,722122,607377,820665,465274,601084,666990,NA,620269,595531,375559,236520,631117,590695.045869335,537059.429457376,470052,395993,479048,586617,671333,395469,512905.067480336,NA,745614,576621,522696,443508,730640,473351,646220,459646,767178,579053,455949,405549,654535,736603,NA,643910
"27","145.05247@0.55821806",NA,1225015,1381341,1346420,1325593,1003026,NA,1058521,919739,1073578,1129159,1157342,1193451,NA,1456146,765131,874823,1536610,1182256,1094322,1103574,1006801,1055994,NA,1148791,734776,NA,607953,968231,1640640,1209008,1251019,NA,1253738,1518299,966565,1787893,1264515,1191365,1244793,1522722,511390,1507988,1312683,1682283,960821,1208120,1442720,1072830,1262191,1270331,877938,503617,1317382,183867,NA,1028089,779022,679114,1223826,1359878,793254,1039950,1205994,NA,1316020,1051001,994043,1441638,949047,1398747,991506,1597573,1173620,NA,874678,1391784,1523159,743281,1365379
"28","131.07278@0.5582333",532370,546847,NA,NA,507396,415001,388860,351701,NA,418065,NA,446217,508985,426709,454805,279386,90836,599952,433996,426131,423572,392603,472718,626690,505418,514829.418077745,251615,531584.290336167,350604,622858,NA,519628,348126,536954,599372,360843,625628,439843,468356,408925.63987788,NA,459261.54046806,587704,NA,700838,NA,516045.648017088,549482,480644,445296,NA,442052.585203244,420097.740303713,543985,448653.580351323,386050,396955,303246,414122,478495,511588,311120,435430,310979,549293,504244,NA,NA,590957,431045,564416,456785.133873727,648097,278778,430710,523668.507485125,561108,600873,292680,587784
"29","169.05202@0.558378",306148,325319,317932,310680,323809,217507,196501,224768,307994,247217.878667407,288305.259603241,269280,271027,228353,325887,171110,85632,352726,276937,228709,NA,241775,234907,310958,252871,157198,271443,298371.147490278,218173,370358,272785,276100,201535,NA,232943,225979,405570,287708,NA,283253,381724,NA,353095,309563.501455674,397222,222682,NA,333740,239186,143526,293699,206936,114853,302756,283721.973690656,238241,228937,185419,241684,269287,312041,179347,250361,264596,357296,301138,193749,211319,NA,234214,311378,209237,383263,266889,219026,179130,301430,350335,117240,301470
"30","260.1364@0.8112341",61204,102782.191215375,85623,76911,102616,109800,67567,70552,76282,89615.0379701163,64101,81161,84559,84445,93836,79044,96947.6155941033,92735.7660539579,111270,101704.219614823,94953,99944,111980,81743,82080,76272,72047,111496,86045,NA,102558.164515476,95953,103593,106815.784991926,109639.441699291,NA,113766,113268,117348,82189.143159645,135373,61345,105402,112664,122162,113124,90373.4177090437,111655,94165,164739,103501,102676.679866,98356.7630050119,96065,85013,96177.6238340549,99452,87003,116076,98047,105541,64230,125061,99197,98648,171193,66417,94013,NA,70250,114835,84220,129376,90596,87607,125897,85990,83385,88714.5600849897,105735
"31","370.2575@1.8902969",59342,57661,64707,68645,NA,76017,NA,123661,NA,30016,103195,60067,78038,59849,74088,NA,NA,73551,47409,NA,112159,54157,65873,76667,77174,62833,60524,71088,79291,NA,74283,127150,NA,63524,55767,51868,59164,NA,165663,75175,68022,66228,86158,44200,43772,76417,64568,75472,66879,62037,86362,68687,81138,86056,76980,93469,77766,59308,72344,83596,71424,76640,89577,74354,62262,57605,73396,67554,63300,NA,68106,95459,106512,61447,NA,71135,58389,NA,94257,57655
"32","141.1151@2.0928726",95391,78926,186878,219498,168660,341622,918301,NA,NA,107838,NA,143869,44104.8215979452,101449.540661197,118631,102251,102155.317149067,NA,74763,115240.727814474,NA,79102.9157982733,NA,62623,49902.3315304745,327171,132334,114184,102064,146066,25293.2729896859,99769.7291200573,124497.933100832,19296.8646493277,19716.3804601483,119218,196968,NA,28958,473009,697950,164164.348971628,787027,175984,92602.0572262263,104414,122808,11307.7376597161,81482,137032,105515,38835.4842218837,197103,NA,168847.708511824,130005,60943.6833667034,58986.2945559362,35516.3713835812,92760,196332,256921,101786.302843577,125711.396299571,123593.571306495,71172,116534.686266226,NA,19222.5993463445,68849.1730465574,8512.00400510883,0,48669.974882905,107906,153722.092785759,50068.2416419153,129819.470923487,NA,45672.8268779774,64649
"33","470.3465@2.160706",156960,117725,NA,129194,124049,239744,NA,236411,169225,60316,142539,135077,125246,161703,NA,122185,172592,130338,60392,190683,212015,119652,111044,NA,185594,180787,166582,NA,153045,140612,133300,237932,168982,138741,100549,140118,118821,108036,280780,174590,107532,186962,209101,67674,79062,184107,NA,205124,192107,134675,256923,209675,189904,207612,183412,237616,163650,147556,155294,151955,130672,135431,185656,180533,167668,136059,132675,147963,161621,178042,162714,193729,NA,156359,NA,142835,157675,128942,158369,134688
"34","259.17804@2.2082825",NA,NA,120984,226417,NA,61290,161780.868816067,NA,NA,108433,NA,85334,102809,128295,NA,206208,152577,109539.553458158,131196,116259,76359,215742,105102,179455.90698932,99396,169449,93389,80191,195541,91779,147841,67783,172838,203701.318189881,148819,153653,62219,208088.051306848,151493,NA,143056,334124,178787.88352957,157303,150378.606726118,61632,125954,NA,116151,109117,145662,377503,NA,80990,201242,292556,270481,562023,243025,88578,142384,143474,97714,NA,72326,257512,83846,236468,138854,127978,209964,136440,165046,151778,156105,126601,110785.166720212,158638,64542,128742
"35","387.2465@2.212678",60654,103522.541456828,58355,54326,555605.211544868,57741,75921.5669270468,47376,244883,78138.9377509864,352602,57302,65213,59236.0591089534,NA,49665,61468,79769,54394,65297,NA,79197,71363,561086.957094194,78223.4379107291,NA,422887.85461599,716912.187532447,54859,NA,NA,201727.164141196,133403.81653265,79962.0542355635,37674,73126.124907898,61377,216244.781633842,218829,76991.9061494332,83986,63210,204715.489723199,NA,438698.650554021,533844.760325627,NA,73791.794344363,58458,69226,45145,93783,NA,499991.2435771,59715,114157.954132705,64396,57707.9980446526,74557,57028.2915706605,73275,NA,71105.5959027181,55878.8377427731,47311,94108.5679216163,483345.659149366,65532.284950156,NA,52759,51329,NA,70661.9687016182,68557,78370.4943308142,594950.753046725,48692,67907.9675795085,26515,553296.92727728
"36","241.14667@2.3098967",243667,310152,311296,325729,138396,135165,131443,60774,274866,186342,123254,106817,145896,139745,203631,103794,175321,234476,407296,NA,95727,138941,97882,55231,319362,75857,279796,NA,178392,65744,167016,200932,258207,186077,213252,144586,188187,219284,273479,305286,120913,174422,267596,144745,89743,130549,155164,348154,397080,178869,69510,274333,154812,69695,200660,165474.776899099,359592,261749,218539,179322,155024,339619,NA,301903,426053,129257,243506,206240,264825,NA,128613,221498,132454,131866,117530,159076,206645,57501,NA,212640
"37","431.27283@2.3562942",72796,112017.896139872,59183,53680,51040,59979,53779,63529.3973507065,240997,55864,399408,58375,71509,63156,58702,47324,79248,206608.474359801,57012,81016,194582.752427165,113592,67899,51792,47138,75090,NA,46733,58851,90923,210525.354663758,56351,125225.194839165,63408.1042586662,68024.9267471903,63556.9325312346,74203,52350,187217,64629,79866,70593,166954.625794797,55495,225889.877178656,43256,1443077,56915,65349,72457,44584,98920,60273,77361,60437,98464.7108620005,71888,61343.7025323333,NA,53548.833543792,75924,70857,65251.5750053901,51491,60747,103489.271050671,57036,54186,215509.921431804,NA,57547,65629.718686133,57689.7391763868,49836,40466,40189,72823.0153776367,61843.3371418796,78088.5469624868,41235
"38","149.08421@2.4022665",68900,47082,61080,78967,28488,36374,34124,38499.6716396898,NA,51434,38309,NA,NA,38408,47909,37549,56812,48685,63549,NA,NA,NA,38339,42231.9329345189,69111,48837.1624988198,62042,56195.8888289221,48441.1919792432,43027.8548312883,53167.5240714246,44397,51756,55522,57426,48421.8542708333,43819,60301,60538,54528,NA,47882,50769,43963.176251945,33874,31775,59287.8036539164,46859,69572,37383,41595.2122178295,62173,27369,NA,52205,39159.5339080022,62683,52512,62171,42606,41033,43912,42109,41057,74575,46807,76844,63499,NA,56381,48140,55357,43218,31150,49231.8614483381,NA,48311.0884547473,21510,59741,51303
"39","475.29922@2.4753118",66468,97588.5781569406,44449,46295,47859,53673,52228,40583,NA,57998,362119,51705,66808,52669,138445.213760822,43074,71378,53754,58381,97067,35313,127742,54095,40450,71140.0433916393,61979,33662,42980,NA,68404,174193.441945983,44915,39039,38815,51226.1350098509,33825,61491,47452,121659,55954,NA,NA,NA,38973,42251,113542.087840813,569056,53469,57071,70378,40708,96121,41111,74963,56427,47109,55568,39283,NA,35060,69984,58521,46045,44372,57347,87589.5318065428,51552,50896,NA,50891,46081,46026,48936.4202348201,45097,57327.0017863429,45534,42844,40261,64901.5692822697,112151.528189741
"40","238.08382@2.5050247",1019325,365542,194908,1380181,126909,153464,127677,36546,184021,157445,NA,318986,180793,180076,274581.847435357,191961.287321917,220875,172112,120569,265281,152739,328222,579034,336130.95185394,197621,192484,292170,345474.95554242,227510,92366,197565,533514,416076,690022,400212,482816,218595,292883,NA,192798.119364094,NA,119714,509043,263318,126176,425371,214298,176237,89007,177082,703280,239150,167849,164648,83551,225568,NA,644600,NA,553990,558303,NA,308954,456175,168015,1023390,581069,302265,491191,150304,572448,225055.70337079,332736,292330,344441,216159,281482.54075535,102623,148100,501395
"41","696.5162@2.5531747",944382,833088,952550,876378,784996,986523,968243,NA,903372,320059,965731,863205,917890,949713,NA,967304,1175934,1009525,NA,1108650,1308007,804512,NA,1052453,1037525,1070624,NA,1334057,980755,NA,952208,1482118,955335,923548,611826,636737,700776,682930,NA,828206,930330,1068863,1126818,454022,672271,1119879,NA,1137775,1030028,863612,1449780,NA,1228311,1085601,1084280,1263838,1070094,1102094,895549,803824,NA,956806,1236765,1018488,914543,899939,925404,952942,1058513,1304034,993746,1371513,1235453,891305,835557,986267,1004938,852646,1274960,710297
"42","519.32495@2.5820522",NA,81975.5315982142,36538,NA,34788,56274,NA,32711,179224,52618,291087,41415,39653.4831758462,41026,NA,38880,52110,38319,48991,114117,111773.473652157,130418,40706,NA,37499,52104,29729,34914,40584,43733,130647.00658362,39346,82961.0998912939,35151,33671,30167,53598,42084,69877,43803,49722,81591,33026,35092,76206.5608277112,29272,238330,42541,40254,59674,30735,100311,37009,67636,47305,33486,57014,48553.2934791853,46761,49762.1286861307,57235,74678.2630505625,35422,39235,55873,77141.4962587537,44109,48253,134288.974780569,44997,38156,45321,NA,42240,33855,34824,54044.192627002,42608.503219354,28304,33766
"43","452.33572@2.599545",3706184,2908203,3875563,3366923,3591998,5743324,3736897,NA,26077,NA,4944166,3350200,3739924,3211108,4305609,3057484,4212445,3966390,23830,4683472,5382409,2962734,3704527,4393929,4617554,3801084,4371892,3216296,4043825,2842303,3573222,7089495,3695561,3351658,2995986,3352770,2754811,2737853,7322660,3170214,3020565,4375439,4337744,2320015,1942978,3405972,3348786,4621816,NA,3263357,4479179,3448036,3741935,5460995,3786525,4471943,3675833,2857353,3363753,4403441,3477734,4066694,6003321,4007131,3393793,2665989,3500618,3700167,3696335,5510807,3621819,3546581,5416491,4038210,3230952,3780967,4364251,3554763,4535871,3443047
