"","Compound","S1_EDTA_T0","S2_EDTA_T0","S3_EDTA_T0","S4_EDTA_T0","S1_EDTA_T3","S2_EDTA_T3","S3_EDTA_T3","S4_EDTA_T3","S1_EDTA_T6","S2_EDTA_T6","S3_EDTA_T6","S4_EDTA_T6","S1_EDTA_T9","S2_EDTA_T9","S3_EDTA_T9","S4_EDTA_T9","S1_EDTA_T12","S2_EDTA_T12","S3_EDTA_T12","S4_EDTA_T12","S1_EDTA_T18","S2_EDTA_T18","S3_EDTA_T18","S4_EDTA_T18","S1_EDTA_T24","S2_EDTA_T24","S3_EDTA_T24","S4_EDTA_T24","S1_EDTA_T30","S2_EDTA_T30","S3_EDTA_T30","S4_EDTA_T30","S1_EDTA_T36","S2_EDTA_T36","S3_EDTA_T36","S4_EDTA_T36","S1_EDTA_T48","S2_EDTA_T48","S3_EDTA_T48","S4_EDTA_T48","S1_EDTA_T60","S2_EDTA_T60","S3_EDTA_T60","S4_EDTA_T60","S1_EDTA_T72","S2_EDTA_T72","S3_EDTA_T72","S4_EDTA_T72","S1_EDTA_T96","S2_EDTA_T96","S3_EDTA_T96","S4_EDTA_T96","S1_EDTA_T120","S2_EDTA_T120","S3_EDTA_T120","S4_EDTA_T120","S1_EDTA_T144","S2_EDTA_T144","S3_EDTA_T144","S4_EDTA_T144","S1_EDTA_T168","S2_EDTA_T168","S3_EDTA_T168","S4_EDTA_T168","QC_EDTA_1","QC_EDTA_2","QC_EDTA_3","QC_EDTA_4","QC_EDTA_5","QC_EDTA_6","QC_EDTA_7","QC_EDTA_8","S5_T0_EDTA","S6_T0_EDTA","S7_T0_EDTA","S8_T0_EDTA","S5_T3_EDTA","S6_T3_EDTA","S7_T3_EDTA","S8_T3_EDTA","S5_T6_EDTA","S6_T6_EDTA","S7_T6_EDTA","S8_T6_EDTA","S5_T9_EDTA","S6_T9_EDTA","S7_T9_EDTA","S8_T9_EDTA","S5_T12_EDTA","S6_T12_EDTA","S7_T12_EDTA","S8_T12_EDTA","S5_T18_EDTA","S6_T18_EDTA","S7_T18_EDTA","S8_T18_EDTA","S5_T24_EDTA","S6_T24_EDTA","S7_T24_EDTA","S8_T24_EDTA","S5_T30_EDTA","S6_T30_EDTA","S7_T30_EDTA","S8_T30_EDTA","S5_T36_EDTA","S6_T36_EDTA","S7_T36_EDTA","S8_T36_EDTA","S5_T48_EDTA","S6_T48_EDTA","S7_T48_EDTA","S8_T48_EDTA","S5_T60_EDTA","S6_T60_EDTA","S7_T60_EDTA","S8_T60_EDTA","S5_T72_EDTA","S6_T72_EDTA","S7_T72_EDTA","S8_T72_EDTA","S5_T96_EDTA","S6_T96_EDTA","S7_T96_EDTA","S8_T96_EDTA","S5_T120_EDTA","S6_T120_EDTA","S7_T120_EDTA","S5_T144_EDTA","S6_T144_EDTA","S7_T144_EDTA","S8_T144_EDTA","S5_T168_EDTA","S6_T168_EDTA","S7_T168_EDTA","S8_T168_EDTA","QC_1_S5_S8_EDTA","QC_2_S5_S8_EDTA","QC_4_S5_S8_EDTA","QC_5_S5_S8_EDTA","QC_6_S5_S8_EDTA","QC_7_S5_S8_EDTA","QC_8_S5_S8_EDTA","QC_3_S5_S8_EDTA"
"49","[51] alpha ketoglutaric acid [13.859]",9929.84606215298,12984.5898125284,13522.6098677852,8612.22952781079,10876.0644258213,12507.7043965275,14558.3565592641,NA,13015.6722845953,13734.0134657088,15186.8820171543,12560.6325589307,NA,15228.3072567821,14378.655327479,13793.6527235278,12254.3711196373,16997.6988724281,14159.0292166653,13964.0438846748,NA,20276.371606708,16534.9021223039,18636.2273734594,15177.6809499098,23369.5759577948,14391.7692724608,17272.0612254414,17467.8299311973,23264.5732287286,18896.789749984,NA,NA,26087.1445799787,NA,24421.1099426333,22774.569813374,34086.344539646,20139.7986964932,32952.07095454,23474.0167985575,42071.3742514809,24257.1075904134,37164.2106292556,24328.7086719821,24995.9586970199,42353.4962473467,NA,28959.113608247,59211.2559172409,31898.9321892006,40716.6273366259,31435.3733188775,49871.7936910688,NA,NA,31267.0871388461,62899.563897146,39886.1775384074,48525.774308882,35201.3994164034,77318.6766619836,NA,14339.2948671402,28195.4922080239,28093.6735336427,28362.6610565448,26599.538848346,26315.1913950987,26976.8779026496,29288.7949612023,28549.6319575518,13593.0226227961,7711.18773490108,9484.20008380336,8849.60476482905,16389.23665083,8113.6243488529,11958.8848606593,9307.46291516018,18595.8677969169,11214.5114402463,NA,11447.6633623618,19055.1774707032,8807.68036375531,13805.5558664848,9831.74820660022,18257.0206354308,10249.2268232697,31074.0452138027,12149.6877268634,19120.8717246129,8965.93339191757,18976.5754844173,14029.4554425264,20416.2347101644,10824.9879957618,16336.9424056091,14990.1643379598,24518.7902237092,11756.3180557912,22086.8419254969,16385.6477114855,25694.1194347889,12464.8806892372,23437.2591907106,15327.3017935409,33819.9901641249,16319.5950833943,24529.6397937654,17170.9204922632,34783.0130762759,NA,30812.8360648032,17719.9290505738,46177.3622980858,19847.9887205539,29900.9488621375,21730.7780219888,46070.3839073783,NA,35765.0270002215,NA,62826.2707420775,NA,44088.4548172953,66670.8695843604,NA,43158.0419219036,42861.4508552098,NA,41500.5631892348,46316.1336127399,37953.6084345262,28409.8557547143,NA,28253.4856080466,27475.6096237061,NA,29254.3879118209,27085.3342288917,28596.5862343166
"50","[107812] hypotaurine [14.113]",3107.3839825496,1833.02971090121,1221.4738379352,3301.31090005163,3013.7653554855,1600.25749446791,1338.73988801662,2756.96072195409,5751.11661176505,3000.02092611664,1803.38191857939,4101.41862422498,5212.36855919352,3358.40686461408,997.609922845042,3040.06163287725,4267.70253841102,3672.74221007056,1529.76015154056,4851.35866246429,3630.34804191848,NA,2507.77604850112,5478.84604738664,6061.48412430764,4506.64499966779,1832.11385076534,NA,3756.22406262696,2355.68309727991,2785.08323829732,4312.21863872163,NA,4120.94121848792,2483.74602418141,3141.83100919024,7781.61840262695,4281.57318227738,2382.76161590468,8094.63934391654,8921.0654685607,7051.98539911059,2858.02914353243,NA,8925.19259199581,2550.33962878387,5682.42613958022,5098.77527860198,8905.8442915941,9167.76817221524,2493.17912128535,NA,NA,6015.34068992404,4322.14317169874,5873.20355165625,13838.2265687297,5599.85008830835,NA,7204.35947939563,10446.5386358258,NA,3152.48639422328,6127.5829168494,2858.8605796321,3007.75896873142,4169.10096250497,3933.18856431784,5204.59630775493,5890.12506397547,6331.11614163187,NA,2713.14482985991,716.977404070531,3969.29044527909,1640.22638453219,3219.31286756269,815.587329766095,4162.5449640831,2440.50544152084,4556.94661580059,NA,4616.26449166887,2527.51777714451,4805.98602988718,1100.81536040883,3135.79891338735,1820.5216416561,3835.49455088508,1568.57932965013,7042.7746801876,2774.99270121332,2881.6203055648,1041.4829222418,6608.12492263966,2925.30659681982,5124.3920367118,1533.77123746919,3831.27854049718,3351.0060202624,3910.17314547471,1002.13951896497,NA,2889.09520364468,5426.04570590687,NA,7182.99610235306,2155.71915422355,6973.22260379012,1868.20084029327,6617.48995559404,4992.9310099809,6067.08777140715,2221.40195098108,9508.04197108029,5178.7044965789,6538.43796548332,1455.66244181553,9683.6747837313,4143.82250216023,3666.04069768063,4489.60663858711,7639.68224920344,6504.60021033692,7102.07101411516,7327.77007174485,16131.4868035837,6302.67407293828,1713.85482310038,14791.109814531,8850.47406024773,6130.31611001332,75339.6872256498,18245.1069368484,4816.1617482532,3245.73465984448,2522.9010783937,4557.70175764683,5370.11188711912,NA,6621.51782361921,NA,3938.52383759964
"51","L-Phenylalanine, 2TMS derivative",55328.3833251114,65232.3128557787,49070.5122663821,50982.9983699239,63372.5766081757,55172.2956030999,NA,57514.3354928195,70011.6508910704,62656.915522911,48000.9045274872,57729.951279143,69296.8574820143,63453.8016858156,41089.266163166,54958.7016231366,64754.6567058276,66040.0093929495,43665.7906767855,59577.0791969236,65494.6764315528,66603.9312681371,51488.199589745,61277.0784547249,65945.1993452434,69395.9875559377,46828.1314854816,54136.0891062251,NA,68420.6756885757,49247.9882765541,56897.8605266232,73890.3392148256,72474.9535153974,54604.5336643234,58953.5127114581,69924.9295680435,NA,45687.4371194285,58852.0380167775,72431.1638365395,79569.7247503674,48447.1837389185,63060.0909296758,68716.7950476295,45005.1990950094,72420.9227871209,NA,73724.6148551713,95679.0334071245,60093.899840653,56910.4087213416,NA,78717.1308757546,68637.5215190861,67222.5677158222,79171.3689130199,104551.978172285,63030.1162012253,67868.8521643259,106977.878732762,130817.950619884,98655.5555411681,13330.8770670892,66092.4325271157,66217.4995260639,67612.3866924175,62876.5460424412,63461.3340281203,65286.2568739881,66977.0750146316,NA,56927.7579329106,57745.5758550651,48468.6218148832,59160.7882046264,57062.7778096937,48271.2844758611,49719.1427202862,59596.7319090178,NA,NA,49593.4495553475,68431.4062672428,61886.1437021401,54668.2781994343,NA,47227.0340996378,55551.9457601267,62313.2759691239,57446.2098846757,67559.0833100353,46732.3779886808,45199.3497056878,59111.0714770713,NA,51680.2178545898,54342.6471327383,50753.7515516187,73385.9141867734,55494.560017446,NA,NA,64065.5007527762,54169.463658343,55465.9197565149,55895.1983616712,51299.4727182548,56356.3205023001,62116.4384384808,55148.478130703,70649.442740635,42195.8918631548,64400.4773729745,61989.8387564449,53755.951546308,55631.7991212467,52333.9909735857,55428.0462719496,57142.5895697877,70253.0377854213,63697.1982156447,71201.3748482325,87805.0438353277,76891.071438831,82246.0139413283,86964.1969953724,84004.276377104,52301.7912617541,75782.2246105448,NA,97172.4068167409,221195.143567112,90182.0261015777,86017.251213146,61571.1729170357,54319.5691592447,68361.606639392,69205.1004405189,68907.9385520638,NA,69567.115301676,63405.2649115995
"52","[1123] taurine [14.94]",NA,10666.0769680024,10130.491913658,NA,13814.0833899007,10830.9371574781,15187.951542603,12929.3163128795,16076.8497478853,12622.4610730659,15670.8265548237,15989.8884524185,13469.0433543139,13888.6004925758,17655.9549121128,16965.4567838323,17087.6910438847,15345.4135319323,19554.1235975577,19371.7404047676,19577.6367229985,17016.7418079309,19630.646133841,19195.4373030763,17825.5681141887,17272.5298310395,19480.813365964,18512.0027278687,21913.4000649245,18680.2578367317,20297.7842194614,17597.7509159404,22890.6977070693,16561.4211696172,20204.8118560026,16516.6476805837,28017.8365506551,21094.0987913028,24433.9441881745,26151.2040611501,28020.4444342264,20338.7565325891,35005.3204263278,25298.0978144333,40148.8863838446,36911.0903779637,NA,34310.6804563959,44069.3311595982,45635.871281154,32275.9420447099,27840.9427438523,45730.0635473324,29437.619388996,29950.0967143948,28845.86397666,43306.1460031308,38924.9892926714,38718.3968620718,35203.0456929306,67027.0172365371,52426.8435351835,41319.8421465178,24946.1641205873,25988.4551155068,23005.4212824346,26587.2304537968,27685.2799588524,27053.1056727437,23086.6336656512,NA,28814.2230466626,11648.4092976448,6802.42539363777,12505.107486378,9830.10176211063,14352.1921006417,9449.50147749907,NA,10302.9005079712,3913.89748871176,6283.74148550726,13959.612289797,9970.5650262809,13513.1961083847,7694.58005844281,17015.8943448188,9862.3764213262,19230.5557781256,9696.4384902389,24541.0821746381,10262.7274954161,15292.5332314551,9562.00397347531,18291.0289303123,13170.612506288,17450.1065160607,11167.763790464,17527.0939590145,10698.7575866726,16539.8631211047,11357.7016567251,23504.7530284301,9073.99820790311,17573.3237943896,12221.5594649141,NA,14979.4092444637,25029.3736842667,12717.2401409853,21024.320444518,15150.2246327404,18036.484410387,22546.9111357707,23027.8361687756,17676.5168661272,22415.2455256346,21068.3087381158,17627.3036624052,21623.8314404801,29043.2129440866,29603.5329991822,34395.64128792,32747.3544647807,NA,30569.2479542994,27917.8214306733,35445.9149890455,25190.9352340198,19841.5044510697,27873.7609453685,23461.5671255884,NA,24307.4853010249,33965.7288803402,32476.0019208567,28651.346306708,27475.7312773498,20285.9856432748,26880.9323520172,24075.5226031466,24145.1104363571,24825.049582338
"53","Monoamidomalonic acid, tris(trimethylsilyl)",1501.54199537655,3468.71081803182,NA,1119.6644373477,3084.14650639259,3617.0169420827,1979.76966567752,1510.89369632231,3097.63602328641,4157.74411191455,1441.20097003531,1941.34696124536,3243.47417965497,4452.35101164898,1315.9721155229,NA,3239.07924840047,4203.40094699115,1343.08920887456,2932.33973158883,NA,4522.55583395465,NA,4091.45157242073,1901.23504785663,5529.26238802432,1236.32862137448,3549.47581505422,NA,NA,1016.60909466981,5554.70303321364,2020.89255261715,7052.72046239726,1318.91959297303,6251.66494983479,1380.79087399601,6748.66250395564,1417.03182821715,7239.1956504424,998.460375781112,8593.56542447235,1815.164124232,11217.2515493626,1000.56110481516,2459.75042613347,8586.47403675137,12076.5824043986,1552.57565752782,11180.6814444487,5227.68045849227,15933.7181428798,1833.21939440852,13686.3149422457,7478.58661990982,15209.9750870753,2404.23599795191,18601.8902223256,4992.25729732169,17443.9308542296,3848.87506036809,17943.3183478771,17787.8406450525,8099.09061396318,NA,7725.25698497922,7709.70688152498,NA,7550.96310541694,7380.82355593863,7696.20836179081,6843.0244952845,1949.83657454015,3213.08975407249,2357.24837737683,NA,2270.51265148403,3541.24828283647,2994.40353806559,NA,2522.79432358072,1665.15355137603,2113.27779288645,NA,3221.4086526266,3306.83788253619,2315.57646873194,2904.83013906257,2436.96476843039,5421.6616466596,5533.17208630196,3121.46575902112,2995.28638262021,5135.78366705318,2549.6880152391,2759.05293250602,3017.52101568002,5537.90083317328,2627.86676906573,2855.17970615601,3254.37640932281,7911.11528164149,2438.36786866567,2608.98775889496,4087.83353318837,7673.12738872056,2896.55733330212,2080.64619002906,5788.54845787556,9738.43360117651,3039.8985881738,2397.57895047453,5600.0006153896,14526.8485195469,4045.26032838853,2907.34866284364,NA,14108.6014925373,NA,2057.17511931969,16436.1303453777,15066.822749159,6246.50650308607,4271.32481077311,16729.8872883018,17086.7823719371,6792.29375496804,NA,22097.385827894,5348.45094096882,4079.65368985514,26339.559186751,102334.095266662,4414.21328303111,6900.25884493189,7535.86973950874,7303.27874245001,7217.87713062023,7128.0630039603,6825.57348244832,6853.75683164285,NA,9046.91050140844
"54","DL-Ornithine, 3TMS derivative",NA,26869.4616412166,4891.33665697786,13600.6636870242,18399.3091005817,29249.2407873648,5668.71230691967,16609.5900546385,22988.8888093965,32154.7461964961,5713.80251719543,20376.5621894952,23123.9359123064,32879.0202992087,4674.05513713682,22191.2154691154,20074.5566445381,36985.0998787114,NA,21891.3602778781,20159.8152779548,38928.5795317665,6171.06903525426,29146.737062527,22532.081009047,44043.6751196121,6944.21739417678,22655.8554544776,21460.7903957512,NA,7795.96376469544,31600.8314328833,NA,50102.2178581281,8638.96270960543,31331.7138752582,28170.7057024949,52034.5621114894,8208.98567678423,47355.262889991,30918.0679886565,65836.1733645292,10697.4759393672,47127.3254323152,34683.2235416443,9357.87808532379,60057.8543902615,44840.2558034231,40921.415094327,70024.2840964622,NA,46706.353114385,NA,54503.0736029652,16253.1239472351,48200.5001593557,49709.1870900097,61906.0296653997,NA,51154.0438503469,50522.9058362166,NA,25348.5774487389,41621.3716034831,30077.4280495188,28994.746670741,30607.2297772331,NA,28375.1924335175,29013.8405561518,31836.1293955359,31680.2644946579,NA,NA,22011.7111300898,14396.9734605937,25630.6665518183,11746.9150657436,24608.8120555505,13596.2588916993,27123.9031184101,10856.0940841926,21826.317571571,17295.9877573087,27164.7504447902,10509.7956604001,25943.7472258808,11754.1536228471,24447.7639658505,13388.2616435267,52758.9867873997,NA,21295.6316432374,11653.6435472929,34717.3057582143,18534.8445834683,21594.832487785,12545.205692232,28388.4633657094,20618.0885603302,26067.9292913949,15721.8364939047,37374.3458102142,20011.1277626294,24549.6599341604,13132.4907307844,41579.1972859477,14866.4323834354,30540.5631125367,16848.3403067059,NA,17269.3353892161,29381.3258872534,17727.0600814245,52682.7090280265,16203.1206163252,40676.5740367974,NA,47849.8437355496,20375.4550055203,NA,32219.4826538822,NA,29095.8674164942,53928.3389590231,56294.8554854236,69241.8037233886,57777.3315981518,19335.8496078576,63457.2360481283,NA,70752.7227639897,69653.9062518503,66638.7532887905,23818.9933236101,26238.1024982893,23461.4352525384,33345.1252321502,31440.103906101,32198.3530287253,30275.5121800843,29238.7719936868,33611.1598021222
"55","[754] glycerol 1-phosphate [16.056]",1863.49836856986,1132.19196720307,1305.81045529349,1750.72980750672,1944.49654633165,1650.41260284695,NA,2233.67886697123,2065.60777444622,1471.73246508931,1564.61565271486,NA,2027.79278997798,1487.33211104837,1182.08195747491,2668.60684166161,1963.31251168698,177.623206627614,1359.84739563892,NA,NA,2271.38704983682,1853.21313864704,3465.98202431891,2482.54866816549,NA,1396.07908435928,2684.39964929283,1683.56919814021,1406.19651971124,1297.27686678098,3372.68785969217,2564.20388846005,1482.87373313396,1250.7385496787,2890.82050851511,2810.75488470428,1517.31846396013,1322.91278145647,NA,2690.43172299739,2005.94424196735,1427.20119658698,6229.26473773709,4361.06131758459,1497.62479814112,NA,4859.8874216887,8442.92678828354,4515.18167183246,NA,NA,10831.5283602542,4525.26782687665,3724.27761629173,10525.931609478,NA,4902.34643837649,5062.3665020361,11226.9525273581,12699.3822737911,8753.2066679924,5429.31424256124,NA,3123.46954856556,3667.38439124584,3656.56286969879,3506.90002866558,3697.46591141727,3746.33195122606,4315.78418394565,4028.49044836422,3390.12842487138,1392.0178453069,2330.90390505693,1466.22627170052,3674.08072064738,1911.82474832725,2063.79556961982,1138.27462880559,NA,2001.98607281504,1654.73684097583,1537.45510913478,4263.64746541551,1651.67119083613,1658.66191080072,1579.80747623558,3825.54586613638,1658.9890099564,5540.8690568104,1466.91667787986,3328.30800586345,1812.36517105047,3145.15489026497,1307.55628018445,3129.81392281084,1230.40171386262,3183.67400915772,1546.90544628719,3484.20065695675,1404.15924502762,3536.9632741251,1785.39613920265,3458.6523896298,1079.2881124541,3285.6257379966,1243.57425193551,3401.16263268494,1093.14445695995,3615.45884148029,1930.89258743883,3976.94420714797,1775.22336438846,4705.56790437977,1428.86301470422,5839.53933362354,1710.11498600039,5620.22877498994,1453.78412555258,5655.76100042459,NA,8381.61604031245,2972.6453619651,6750.00938327598,9632.36339938378,14702.6382449854,9472.39986630318,4529.77023753553,16320.6317395724,4443.37685626507,17302.936109125,79166.6684679436,NA,3336.62532029138,4004.74331671692,3000.91822370802,3994.07280521674,3882.4573580579,3309.63894643138,4199.21255221161,3881.88954834764,3469.45658243877
"56","[311] citric acid [16.615]",40042.8419383966,27593.3201591454,21795.009370606,51868.829466408,41834.7973891724,26444.0700337171,23246.6440648597,57110.2415510923,50448.6198913538,28920.7836378779,21815.1501695972,NA,NA,29042.726031294,20481.9090367381,56404.8855978287,44861.2401862848,29044.1523447943,20999.6171503633,59798.4496601323,43750.7942906725,29220.5051211029,25669.98578261,62478.6740983309,40769.6936544962,32819.2137931637,23326.4294029681,49374.6739929984,41637.8445494679,32043.2645816248,22999.517501681,NA,47535.3113513104,35361.6681780956,26683.7309235887,63240.6408129885,45199.3418508012,33679.0599748302,23356.5238327273,60513.7940868587,NA,41344.7814620728,24021.1200596246,67310.4754176614,50962.8650743052,21402.9271755909,32305.050928366,58720.1770614673,52280.6995610388,40744.3502852589,32701.082508412,64708.3801313054,57888.7274714912,34152.3079751571,29487.368944653,59135.2557039062,55209.2244358034,42951.4334858856,25946.2688366224,56909.3788615599,NA,49204.6634411971,36125.9907485074,40896.6949581598,46112.6579841178,NA,NA,40742.5339261115,43368.5344342891,43827.3296825219,47758.5603888142,42268.162522561,48280.0908484186,22552.3894297121,45271.428379105,29430.4677375439,49858.1306119517,21197.5469240801,47074.3298732902,29957.4665537768,49371.78214446,26374.7279724753,41640.6676748247,31459.5314822108,52231.7904516531,22240.1527171547,48182.8946003146,26060.0041526209,43720.3211060755,24196.8698915582,53944.7936904954,30566.7616275821,44011.9817662036,18589.0986204361,49434.4147776472,29175.3659458386,41100.9370538873,20434.0756404696,43025.7812531189,32189.2013349803,46071.3256011724,24604.8608505288,49380.8401039558,31627.4492018867,43593.8080108808,22424.6122091356,55270.5545418237,27552.0077985672,48935.2375911113,26765.9902778092,47146.9029777197,28527.0508415968,41727.8041138443,27615.6114830664,53400.4001995268,NA,52865.8646384322,25676.6227373377,NA,30171.9666205937,41486.4307569864,37144.9594812766,56030.5656377015,35389.8281458767,49298.168111207,57474.638769705,59243.6840579677,55763.4092767614,26068.9429011986,46664.7347892129,37119.1500333025,59515.8274077218,NA,46545.1397896022,26784.4010897957,45334.3756053941,41248.5775881583,44833.3689683204,43212.8512960013,43274.0385205461,44616.5565889828,45660.4976774987,47245.5720550647
"57","[790] hypoxanthine [16.479]",39080.3050336746,43481.0167249074,25056.5289945604,27525.1248640356,42207.1105036206,49367.3978844269,26750.3606372851,36639.4976636544,53514.6690647416,66175.246369279,32274.004162631,54408.8580393528,61446.3356388505,82624.5364277761,32396.214550441,71365.1254247258,59172.6890612892,102646.038948288,39903.6563344708,93082.3698854329,NA,149110.384118688,57451.9541300589,NA,61461.5722629957,194233.313887848,69825.2243735411,NA,99130.2562235617,223699.237419406,85076.6837089037,238166.504406143,118238.262729336,287266.656162473,111781.463484271,290468.37985239,127286.56340393,371037.390962637,140844.647913342,390623.074868529,116662.15890378,483243.196982179,194023.399263654,NA,119344.596687188,255178.305275733,552775.800041344,481346.334641106,NA,733786.148726867,401347.709169573,672541.397194364,178182.319051241,NA,523203.300929244,779488.27620429,157511.277917165,936106.804091609,597121.039970884,853893.770084666,184023.248456497,1095722.78389384,NA,543061.372133438,NA,NA,286739.24697592,271892.74861449,271047.862071551,274487.080459206,291216.714680258,282012.968072164,28112.1671194799,32758.6639207536,36886.7023897692,43362.4053289213,38223.4974952097,41466.4761526605,47004.4914030177,NA,61259.8701176185,59008.8043387223,50859.174890662,73272.6698516551,NA,61086.820355991,NA,70187.1966393877,79404.8638678263,72991.0435008025,379999.13912428,95454.0356560991,102823.680370783,83087.8869385982,120040.496448407,120092.956785783,130227.618088901,109053.495176192,134545.38320938,145751.287876183,186885.374687791,151081.435343826,190960.297452744,163289.676821052,201395.55903266,163624.504505536,224343.743438193,189156.360128039,284034.419438373,235240.596590391,274918.83477846,239198.365705138,288158.175409021,282551.443451608,NA,229708.958137467,399694.287928755,327924.308101855,356357.281454312,282928.320144075,522695.080867845,453288.393681841,486229.828319512,401537.158507735,592799.051188296,627053.561431192,663071.891104131,670781.029780934,613125.76646384,676941.684926446,565281.511672161,850490.792916985,548118.658268118,810046.049095558,548201.37601471,282485.981473744,260612.012291761,286908.234089419,282658.880308049,285170.112475879,284079.290677729,275339.482438742,287845.346582963
"58","[219984] 1,5-anhydro-D-sorbitol [16.967]",32216.4768095522,NA,25458.351367599,19948.6916917913,33245.7577299255,18738.7377559388,NA,NA,NA,18979.4962288646,25523.2234875584,21447.3358406876,36048.4807719451,18988.8858658816,NA,20727.7720220814,34171.8507871894,19106.8648938811,23991.1813847341,21575.0367717467,33000.1632157645,NA,27056.429092096,21887.9887212701,31742.1192925623,19734.2247120614,24263.589248754,20285.6112881751,NA,18756.9498817977,24936.4956761875,NA,34205.5689033086,19401.8699926961,NA,20611.0622702382,31847.3927950809,17803.5644076623,24564.3771698584,19605.3184909223,36267.626316287,20499.6800192326,25175.6263009982,20724.1245851151,35128.9807435071,23539.5161741254,18734.9748111837,19008.312155784,40259.7782491462,19206.4458336558,28991.1033145612,3192.23503718355,NA,18558.7817864637,25837.0425385236,8236.24253953355,41639.2286347618,22364.511117239,NA,16081.16330036,NA,25188.712096495,30316.3461506246,3297.47332859552,26291.2419509211,26290.0570343947,26080.8665924629,24522.9844551397,25070.00348601,24619.8276762058,26792.0458738788,25864.6013140041,NA,17540.5597977944,27275.1812182506,27674.558988552,18964.6248752551,19072.3314883559,27747.5057289542,NA,19364.3154561271,22963.4374733605,24614.0734672704,28867.6022354753,18018.7121839123,18857.2054290406,28177.958583543,25218.8841902358,17328.220877913,19954.0904872588,28507.3139346319,29189.2972842,15343.2232483494,17752.4422217039,28254.237827044,25330.9135935396,15266.722315457,16433.3006211438,23835.0993312388,28199.34279337,16328.878529473,18914.7764938301,27136.2727754582,26234.4381097538,15192.8489955782,18424.1645657623,29130.841676502,25156.1203527375,16371.6009431599,19475.8671281489,26987.6004532205,26362.1499329013,14423.396693152,19050.9261607381,29880.9196615405,24064.297684638,16736.5596801785,NA,27047.6648531032,25894.92376358,17599.8938682018,16811.0309097035,31458.7106064703,30323.7352734582,NA,18540.8663814673,37357.9295588008,16841.9757710067,16740.7245369063,36173.5004818326,NA,18004.2014220874,229321.187500778,40231.4771532346,31324.4507720293,26414.3296109843,24268.2422123121,26120.4888787044,25876.291628138,NA,25490.7642761815,25685.0183330031,26365.1629719381
"59","D-mannose (sum)",301927.994660709,442632.803091078,390464.027751927,330296.08747081,316911.837636939,387560.756912709,334506.546095585,335625.369569803,337879.422997091,NA,261328.324383317,277036.647806674,273803.209106457,294168.528239607,168524.544718682,231980.73521546,186273.711456221,205742.363718708,137480.839776752,221611.287855813,63786.450402877,119013.173116301,65655.1025810839,114483.423254988,470.837168610314,49994.6447472735,NA,20893.1086719389,251.795376336234,5523.95327186482,238.688735764327,436.027499234561,315.493296480293,510.921191777839,212.812195123367,363.445978865122,223.118517492092,273.342442986,166.337741097154,357.496360137874,305.733312252313,570.175377015569,181.317255793658,515.402048909619,NA,235.189483488327,411.69884959888,308.131988951172,10052.140693417,NA,188.378055674186,224.168129510101,NA,398.592992773026,112.508436178384,NA,938.736391799089,565.777628856657,146.297861320488,421.189961305314,1315.44689518323,619.11058360462,279.593232787384,168.594611785564,88521.4787838886,86331.7161568984,83552.1242130196,65203.8120404449,83853.2014964762,77986.0301811165,86388.1236274002,61724.318924271,463028.953128974,477856.26402672,524203.774362768,482016.761484377,380244.083813416,369292.400895525,433828.861593311,441079.360475728,244383.567204108,479992.801166963,273295.119454126,356687.205369688,178978.599836747,220155.822330296,205835.809255365,187983.947275094,73600.6890249184,197726.62186946,889.821571551732,NA,28154.2612519395,NA,6086.72236347699,8799.36016254089,998.109315632379,736.145114683976,1076.14199104628,655.821931977508,707.545365748126,1185.25769570437,1833.45630071556,306.634924573923,708.601174702632,NA,1305.63438678157,329.887222348887,6044.18362472903,914.011703856783,931.937247852861,331.80366784853,859.533212007545,971.776424616628,1344.83662955361,319.016292546659,1086.14205223724,873.163466068459,1272.33465799014,269.571640607148,NA,10810.2810909616,1268.88828235384,NA,NA,1418.08055461656,961.797016421022,1680.85393588277,1009.98507053743,NA,450.403996829657,1410.12113894744,149241.212387725,832.833880618466,327.710897406995,73877.5171968009,79755.3459701134,NA,70950.595007663,65697.1142808779,76278.5328210379,91152.1110960983,97369.7957236181
