# Notes : Entities from the selected region(s) of the Venn diagram:
#EL1 ^ EL2
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:36:34 CET 2017
Compound	Number Passed ( FF_blank_100% )	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
90.04693@1.207673	1	1	676385.0	1.0	1395165.0	632684.0	506672.0	1.0	1332940.0	1103931.0	458060.0	655768.0	536859.0	1256996.0	630238.0	1314585.0	528273.0	1.0	1846198.0	1285698.0	598992.0	1.0	635428.0	518884.0	1.0	1.0	1424515.0	1.0	520180.0	603908.0	1230217.0	1512852.0	1.0	1257858.0	495987.0	1492158.0	566950.0	1010121.0	523675.0	514452.0	486873.0	494475.0	1259729.0	1.0	1202355.0	1082649.0
101.12055@1.2075455	1	2	144291.0	145034.0	270377.0	143409.0	136270.0	166680.0	311369.0	291573.0	151612.0	163235.0	133915.0	385437.0	154648.0	278498.0	145597.0	353327.0	310071.0	313571.0	155256.0	322920.0	150274.0	141348.0	260516.0	206516.0	253165.0	144107.0	157952.0	133493.0	335404.0	333574.0	316428.0	286090.0	149903.0	395884.0	171475.0	348139.0	173946.0	164827.0	163627.0	152355.0	327310.0	302641.0	304680.0	362074.0
223.12138@1.2016896	1	1	1.0	353105.0	564101.0	341184.0	313460.0	1.0	569804.0	589805.0	347567.0	404191.0	1.0	671661.0	1.0	420598.0	384141.0	560285.0	1.0	551651.0	359590.0	724945.0	336220.0	1.0	606921.0	468833.0	522687.0	318847.0	368022.0	244403.0	576943.0	647073.0	259050.0	682030.0	346397.0	826908.0	366225.0	563550.0	1.0	279809.0	273455.0	285137.0	625491.0	1.0	591733.0	1.0
113.08397@1.2077047	1	2	81091.0	1.0	162591.0	83473.0	70625.0	83534.0	161818.0	147623.0	85846.0	90133.0	71586.0	247344.0	48215.0	209344.0	91324.0	162490.0	210820.0	153623.0	97980.0	144392.0	55850.0	105967.0	151784.0	114448.0	133964.0	78952.0	104075.0	1.0	146628.0	194808.0	193517.0	597232.0	85124.0	236041.0	65842.0	113654.0	66883.0	52484.0	51784.0	1.0	114261.0	119795.0	119330.0	123422.0
244.14333@1.2098503	1	2	364067.0	430433.0	638511.0	375484.0	304968.0	504279.0	646058.0	529221.0	475359.0	440220.0	287366.0	1154487.0	644449.0	956307.0	474605.0	652651.0	839383.0	601953.0	538599.0	608180.0	252060.0	538005.0	682895.0	454467.0	575587.0	369296.0	524541.0	206593.0	507995.0	925662.0	726386.0	1998512.0	508363.0	1176884.0	318844.0	511665.0	307191.0	295367.0	281468.0	275723.0	539068.0	517913.0	515855.0	534834.0
179.09508@1.2095469	1	2	6257642.0	345947.0	8492968.0	1.0	4273368.0	3579188.0	1.0223469E7	2990338.0	4677857.0	1384636.0	3851249.0	7437117.0	4673837.0	7186447.0	6455740.0	5735102.0	861773.0	1.0	6080149.0	1.0843396E7	3894792.0	5125701.0	3563855.0	1739740.0	6117972.0	4461437.0	4955561.0	1365594.0	3516150.0	9057878.0	4666354.0	9201496.0	5127610.0	6226292.0	1.0	4.550586E7	1.0	1.0	2.5448656E7	1.0	1.0	1.0	4.358168E7	1.0
219.12663@1.211089	1	2	825475.0	852397.0	1283558.0	660133.0	597634.0	932288.0	1017239.0	1072322.0	756192.0	849280.0	506279.0	1539275.0	779950.0	1749558.0	949922.0	1173521.0	1482583.0	855607.0	1362084.0	1321142.0	1216680.0	1078603.0	1713363.0	1371958.0	1093760.0	770319.0	939097.0	507029.0	1490704.0	1475493.0	1753456.0	2964156.0	1823834.0	2571826.0	463389.0	753405.0	433840.0	410216.0	416771.0	397763.0	785741.0	770093.0	782269.0	764691.0
106.04174@1.2112882	1	1	234357.0	1.0	345229.0	101528.0	97351.0	91606.0	1.0	1.0	93895.0	93957.0	124290.0	180128.0	137554.0	180147.0	140449.0	152880.0	1.0	1.0	159406.0	240126.0	116821.0	136091.0	314767.0	748549.0	353883.0	135978.0	160834.0	277538.0	542936.0	279707.0	193673.0	187228.0	128940.0	182658.0	119008.0	257151.0	118549.0	122102.0	121333.0	124566.0	290328.0	225812.0	261271.0	230325.0
193.11108@1.2135371	1	2	1170589.0	1106811.0	2112631.0	969475.0	1035103.0	1321757.0	1747473.0	1825863.0	1085591.0	1176408.0	901368.0	1955275.0	1088430.0	1382576.0	1180892.0	1743823.0	1992139.0	1628797.0	1297740.0	2440620.0	1138383.0	1113064.0	2129115.0	2073675.0	2376251.0	1128065.0	1144281.0	1001155.0	2257379.0	2131531.0	2057714.0	1746744.0	1025589.0	2582187.0	1088889.0	1804389.0	1077421.0	1020173.0	960766.0	960200.0	1862985.0	1734581.0	1756051.0	1811977.0
235.11996@1.2376444	1	1	59230.0	1.0	109134.0	72882.0	1.0	84820.0	122652.0	1.0	1.0	84512.0	64608.0	127512.0	80006.0	107300.0	50679.0	120741.0	134398.0	115175.0	71304.0	129446.0	74273.0	65049.0	134657.0	94838.0	1.0	68802.0	71606.0	56343.0	108277.0	133554.0	140169.0	120485.0	66239.0	145810.0	59828.0	94084.0	60306.0	1.0	39307.0	57650.0	111271.0	92813.0	106253.0	104715.0
