# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : Samples
#Experiment : AH_ZicHilic_positive
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 4 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_positive_2017_Aug_02_10_28_46
# Owner : gxuser
# Created On : Wed Aug 02 11:22:13 CEST 2017
Compound	Number Passed	DM_302(raw)	DM_303(raw)	DM_305(raw)	DM_316(raw)	DM_4(raw)	DM_44(raw)	DM_46(raw)	DM_58(raw)	DM_72(raw)	DM_74(raw)	DM_76(raw)	DM_82(raw)	DM_86(raw)	DM_89(raw)	DM_94(raw)	DM_99(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	PEX_41(raw)	PEX_98(raw)	PEX_315(raw)	PEX_319(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
272.21384@2.8400545	3	1.0	167550.0	134323.0	128176.0	139550.0	137989.0	122644.0	148744.0	163413.0	116598.0	129236.0	1.0	129909.0	124498.0	1.0	135618.0	1.0	236791.0	128545.0	217867.0	1.0	131156.0	134529.0	154595.0	143959.0	117592.0	143803.0	1.0	166524.0	155109.0	137806.0	1.0	133490.0	113484.0	1.0	145341.0	141048.0	144730.0	123421.0	124637.0	119578.0	125010.0	144780.0	118236.0	172607.0	1.0	144052.0	127071.0	189606.0	1.0	113919.0	121083.0	116652.0	110318.0	118051.0	1.0	119328.0	113690.0	113034.0	115829.0	116980.0	120015.0	102689.0	112572.0
196.1105@2.84136	4	1853200.0	1.0	1863435.0	596550.0	1060110.0	738624.0	693015.0	779965.0	2618725.0	1466367.0	2155897.0	963790.0	717231.0	837008.0	1040416.0	2975756.0	1.0	733221.0	2373960.0	520441.0	4350171.0	725985.0	651771.0	806018.0	824935.0	1.0	892451.0	945846.0	1084862.0	1618539.0	870146.0	670557.0	845677.0	601548.0	966401.0	617019.0	1497313.0	2985669.0	1613528.0	2752426.0	764969.0	2527538.0	2191292.0	8518501.0	1.0	670748.0	907638.0	704428.0	1212623.0	678409.0	719686.0	2531874.0	771420.0	689762.0	451871.0	487839.0	458883.0	462198.0	439421.0	464542.0	464564.0	1.0	483620.0	489654.0
308.19888@2.8478363	2	182943.0	250492.0	246810.0	235668.0	223551.0	202457.0	243175.0	1.0	274912.0	1.0	176154.0	305723.0	198536.0	202346.0	254482.0	228675.0	192307.0	205611.0	299607.0	243317.0	211218.0	226710.0	1.0	200586.0	228752.0	200839.0	378263.0	389815.0	236245.0	198627.0	192250.0	239880.0	224334.0	236251.0	231534.0	198325.0	1.0	236284.0	1.0	230684.0	170443.0	328684.0	249061.0	255181.0	1.0	227259.0	213196.0	182299.0	1.0	1.0	229181.0	238884.0	1.0	201809.0	189544.0	380662.0	471638.0	229885.0	1.0	327684.0	335027.0	327695.0	302266.0	332485.0
136.00162@2.8430321	4	276887.0	425049.0	269568.0	322707.0	301263.0	324064.0	305105.0	416712.0	411974.0	318069.0	376581.0	368575.0	349435.0	351639.0	384740.0	359784.0	436985.0	388836.0	287478.0	374148.0	313893.0	388938.0	382759.0	307220.0	437830.0	405462.0	368523.0	494432.0	321976.0	455658.0	387622.0	390940.0	366285.0	302337.0	532495.0	320643.0	321525.0	367545.0	298842.0	461068.0	371939.0	310947.0	456753.0	314882.0	373554.0	313990.0	429560.0	674955.0	440700.0	387850.0	364825.0	433252.0	350163.0	353790.0	311986.0	257189.0	277545.0	242296.0	287373.0	278865.0	266433.0	266456.0	284833.0	269514.0
274.2514@2.8444092	4	469948.0	825035.0	483836.0	451388.0	642631.0	553035.0	487249.0	612478.0	569229.0	430032.0	626365.0	765829.0	526950.0	502809.0	555809.0	590008.0	513438.0	609171.0	477528.0	710218.0	402441.0	511575.0	524691.0	490267.0	594964.0	504377.0	560257.0	805354.0	379011.0	376335.0	643998.0	498274.0	552301.0	462398.0	707996.0	463511.0	466957.0	564515.0	442930.0	590332.0	522364.0	342957.0	645524.0	493700.0	720871.0	511548.0	592234.0	464132.0	636970.0	722808.0	468494.0	580856.0	462170.0	479349.0	602052.0	592430.0	543811.0	570344.0	620426.0	626574.0	656873.0	630512.0	597782.0	613273.0
335.31223@2.8385406	4	712253.0	1132520.0	805828.0	625744.0	639532.0	730630.0	690180.0	744989.0	1185445.0	663947.0	903637.0	1019374.0	1375677.0	595296.0	1004398.0	717013.0	670124.0	615319.0	615725.0	1116785.0	389227.0	1227094.0	749362.0	711809.0	785571.0	824026.0	882527.0	1145339.0	574613.0	602510.0	1258306.0	608762.0	668926.0	810930.0	719806.0	582675.0	1.0	636829.0	880534.0	990870.0	1195394.0	943795.0	776637.0	1.0	785806.0	921029.0	969910.0	564370.0	1.0	953098.0	488014.0	815615.0	708531.0	550684.0	496003.0	445041.0	476820.0	461553.0	469478.0	488751.0	464512.0	479663.0	439890.0	457916.0
293.14847@2.8540835	4	430527.0	1.0	274065.0	364439.0	291992.0	356740.0	433706.0	377766.0	395220.0	407228.0	360333.0	423534.0	336831.0	444392.0	561115.0	477400.0	378620.0	567735.0	434483.0	422099.0	1.0	350052.0	419119.0	367996.0	599085.0	350460.0	367730.0	447250.0	301102.0	385441.0	512598.0	377154.0	613398.0	444078.0	746560.0	311545.0	247150.0	284999.0	383802.0	413934.0	461770.0	275866.0	581123.0	296380.0	297984.0	325603.0	571332.0	1200772.0	314147.0	403382.0	480001.0	576720.0	412175.0	290389.0	305067.0	286464.0	295637.0	310631.0	290746.0	342938.0	1.0	287972.0	1.0	306735.0
560.16626@2.8475	4	1013963.0	833812.0	831333.0	876022.0	989322.0	1068121.0	931498.0	884829.0	950766.0	1350534.0	692279.0	998029.0	824931.0	737485.0	1114217.0	835388.0	857061.0	889982.0	1001782.0	867417.0	867514.0	789431.0	934332.0	993324.0	898535.0	913150.0	970972.0	976914.0	943233.0	1051820.0	1040324.0	945586.0	1070180.0	782447.0	1146536.0	835404.0	1174619.0	1063500.0	900513.0	892898.0	891580.0	600688.0	1051657.0	901616.0	688688.0	846053.0	1086124.0	1757875.0	902931.0	830215.0	1035958.0	1193951.0	1005403.0	760827.0	284370.0	316118.0	279604.0	275125.0	277800.0	267536.0	269101.0	260222.0	290116.0	331443.0
569.22046@2.8475306	4	223188.0	293008.0	183253.0	228282.0	520198.0	240184.0	200258.0	244039.0	419745.0	283958.0	198199.0	326821.0	205558.0	188176.0	308275.0	230084.0	240985.0	244881.0	294399.0	205685.0	262990.0	190627.0	228730.0	307221.0	253813.0	205548.0	275970.0	284834.0	331119.0	481678.0	327068.0	201288.0	262970.0	176001.0	316806.0	202630.0	490661.0	415971.0	262536.0	281122.0	225303.0	133395.0	333484.0	219629.0	203418.0	222222.0	304224.0	389279.0	466115.0	256097.0	252890.0	350829.0	256712.0	201106.0	49404.0	60647.0	51069.0	50630.0	51220.0	55287.0	55480.0	52565.0	51541.0	63086.0
288.20853@2.8721426	1	252848.0	352602.0	161027.0	130653.0	156816.0	132499.0	139289.0	176521.0	1.0	124704.0	253366.0	526175.0	1.0	133209.0	1.0	181508.0	1.0	142574.0	1.0	1.0	127270.0	1.0	171907.0	1.0	141249.0	1.0	1.0	532165.0	299771.0	1.0	1.0	160537.0	150702.0	1.0	1.0	254384.0	148634.0	333473.0	1.0	132066.0	143915.0	136437.0	143571.0	1.0	351187.0	1.0	1.0	1.0	261753.0	464273.0	1.0	1.0	127537.0	1.0	1.0	174182.0	159330.0	132640.0	1.0	177834.0	181195.0	187456.0	187829.0	180267.0
