# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : K_PEX
#Experiment : AH_ZicHilic_positive
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_positive_2017_Aug_02_10_28_46
# Owner : gxuser
# Created On : Fri May 18 15:53:06 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
293.14847@2.8540835	2	378620.0	567735.0	434483.0	422099.0	1.0	350052.0	419119.0	367996.0	599085.0	350460.0	367730.0	447250.0	301102.0	385441.0	512598.0	377154.0	613398.0	444078.0	746560.0	311545.0	247150.0	284999.0	383802.0	413934.0	461770.0	275866.0	581123.0	296380.0	297984.0	325603.0	571332.0	1200772.0	314147.0	403382.0	305067.0	286464.0	295637.0	310631.0	290746.0	342938.0	1.0	287972.0	1.0	306735.0
560.16626@2.8475	2	857061.0	889982.0	1001782.0	867417.0	867514.0	789431.0	934332.0	993324.0	898535.0	913150.0	970972.0	976914.0	943233.0	1051820.0	1040324.0	945586.0	1070180.0	782447.0	1146536.0	835404.0	1174619.0	1063500.0	900513.0	892898.0	891580.0	600688.0	1051657.0	901616.0	688688.0	846053.0	1086124.0	1757875.0	902931.0	830215.0	284370.0	316118.0	279604.0	275125.0	277800.0	267536.0	269101.0	260222.0	290116.0	331443.0
569.22046@2.8475306	2	240985.0	244881.0	294399.0	205685.0	262990.0	190627.0	228730.0	307221.0	253813.0	205548.0	275970.0	284834.0	331119.0	481678.0	327068.0	201288.0	262970.0	176001.0	316806.0	202630.0	490661.0	415971.0	262536.0	281122.0	225303.0	133395.0	333484.0	219629.0	203418.0	222222.0	304224.0	389279.0	466115.0	256097.0	49404.0	60647.0	51069.0	50630.0	51220.0	55287.0	55480.0	52565.0	51541.0	63086.0
309.14334@2.8590677	2	1.0	435760.0	372449.0	1.0	396276.0	393527.0	399289.0	404467.0	441387.0	415267.0	473716.0	467008.0	334740.0	526054.0	412763.0	398269.0	440757.0	339012.0	555028.0	392003.0	391534.0	370697.0	326029.0	509121.0	309218.0	298552.0	415646.0	461818.0	1.0	383112.0	450997.0	1.0	425159.0	377983.0	293776.0	301084.0	316912.0	295175.0	276771.0	292736.0	1.0	281971.0	274339.0	278586.0
202.13615@2.8647616	2	427195.0	406763.0	367547.0	517456.0	406827.0	439705.0	554160.0	389852.0	419669.0	423765.0	548259.0	646489.0	411842.0	1.0	410322.0	417487.0	508070.0	509055.0	490485.0	383470.0	479561.0	403245.0	507535.0	419882.0	401942.0	763292.0	561671.0	460339.0	531237.0	452029.0	422535.0	439994.0	445327.0	569964.0	345257.0	412305.0	429904.0	354244.0	372216.0	389002.0	387083.0	422225.0	392508.0	422676.0
318.278@2.8658748	2	877230.0	787595.0	687267.0	796114.0	391588.0	712983.0	769711.0	667014.0	864154.0	742807.0	772177.0	1188314.0	762666.0	812135.0	993542.0	855763.0	780983.0	576719.0	1134722.0	640014.0	594319.0	589012.0	688917.0	899882.0	839499.0	616565.0	986823.0	631732.0	905230.0	657112.0	906308.0	509830.0	895103.0	1051730.0	565124.0	557712.0	572211.0	637665.0	624396.0	595692.0	578883.0	616485.0	602490.0	642544.0
190.13612@2.8797872	2	732485.0	733369.0	661972.0	884606.0	737190.0	995768.0	987243.0	745824.0	1.0	771357.0	904808.0	1082987.0	701106.0	694066.0	534921.0	709340.0	867420.0	973044.0	877108.0	753958.0	666286.0	632332.0	835720.0	1.0	786885.0	1098786.0	984001.0	759743.0	1082251.0	800630.0	730957.0	758949.0	584931.0	1.0	505744.0	610511.0	606955.0	624922.0	593025.0	574967.0	563862.0	585106.0	605096.0	616007.0
202.17252@2.8859696	2	432392.0	412074.0	361122.0	357516.0	378508.0	386438.0	447146.0	406321.0	454351.0	428378.0	389350.0	514813.0	388591.0	591699.0	362443.0	423497.0	410600.0	348951.0	523878.0	343475.0	445821.0	452955.0	436040.0	453439.0	380028.0	356297.0	489130.0	353163.0	417977.0	372483.0	483847.0	507350.0	655788.0	514297.0	314086.0	316205.0	311790.0	404057.0	313270.0	316858.0	332668.0	321064.0	315754.0	330111.0
87.01411@2.8722856	1	93019.0	191100.0	114822.0	90137.0	1.0	237113.0	1.0	71791.0	90160.0	89263.0	152714.0	135180.0	180376.0	1.0	112812.0	103315.0	146451.0	126034.0	137294.0	77045.0	80038.0	86638.0	1.0	86505.0	120646.0	1.0	83855.0	1.0	1.0	1.0	1.0	156461.0	80497.0	441916.0	1531201.0	1167801.0	1343498.0	1332267.0	1328163.0	1362667.0	1368885.0	1291971.0	1290455.0	1191510.0
233.14578@2.8852363	2	2043297.0	2371834.0	2041448.0	1.0	1502952.0	1.0	2294689.0	2107288.0	2221632.0	2045280.0	2311564.0	1.0	1638415.0	2115464.0	2535079.0	2061598.0	2428169.0	1805669.0	2921044.0	1728354.0	1897226.0	1.0	2086920.0	2104811.0	2172842.0	1537769.0	2605419.0	1844914.0	1550815.0	1681018.0	2542775.0	5353926.0	2174446.0	1.0	1517291.0	1401995.0	1418633.0	1495032.0	1479711.0	1.0	1486635.0	1450063.0	1510777.0	1544684.0
223.12164@2.8929996	1	940864.0	2681517.0	3645662.0	1303975.0	2509821.0	1.0	4828659.0	1552806.0	3335267.0	775689.0	4179302.0	2544682.0	815000.0	6184235.0	1.0	5006372.0	1808205.0	4640449.0	1609303.0	2411192.0	608309.0	1.0	1.0	2443363.0	1.0	870379.0	545129.0	7676860.0	1.0	1186970.0	3366723.0	1636842.0	2320639.0	1.0	745816.0	2434684.0	930720.0	1116481.0	1286744.0	1512856.0	1764870.0	1895632.0	2112622.0	2313179.0
406.32935@2.8960602	2	899057.0	778486.0	528027.0	987862.0	487004.0	857625.0	803705.0	557707.0	969882.0	904384.0	673650.0	934561.0	889708.0	794256.0	1292669.0	841213.0	681152.0	629813.0	1230391.0	622759.0	430826.0	635145.0	693502.0	1092825.0	676572.0	777300.0	740373.0	697932.0	998223.0	780002.0	855885.0	457244.0	960963.0	1108350.0	835037.0	817280.0	730566.0	750958.0	683034.0	805122.0	810354.0	800224.0	829553.0	753261.0
