# Notes : Entities from the selected region(s) of the Venn diagram:
#EL2 - (EL1 ^ EL2)
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:35:43 CET 2017
Compound	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
217.97691@0.83470476	2	55520.0	48585.0	73358.0	56206.0	46837.0	42847.0	68184.0	76724.0	53419.0	1.0	45385.0	63573.0	52607.0	420115.0	44605.0	56295.0	63425.0	59976.0	43870.0	54274.0	38175.0	41105.0	69738.0	50116.0	41454.0	33378.0	45202.0	30486.0	43567.0	95042.0	58221.0	64202.0	42733.0	41176.0	43439.0	47753.0	36153.0	161780.0	37889.0	1.0	46771.0	45858.0	49397.0	44300.0
127.01222@0.8352452	2	4015453.0	4074706.0	9682406.0	4190285.0	3388552.0	3814846.0	8837470.0	1.006073E7	3332500.0	4092625.0	3216009.0	1.0	4136983.0	1.0	3214310.0	1.0108944E7	1.0	8585922.0	3464686.0	7981464.0	3232971.0	3716393.0	9354408.0	8673070.0	6439246.0	2593608.0	3343585.0	3001203.0	8789361.0	1.0666152E7	8263323.0	1.0	661251.0	1.0	1.0	8892384.0	3582886.0	3278369.0	3225362.0	1.0	7836545.0	7377364.0	7592075.0	9132096.0
264.00854@0.83510876	1	143063.0	125888.0	269218.0	1.0	86944.0	109696.0	224470.0	260665.0	95627.0	1.0	91024.0	247422.0	1.0	283680.0	1.0	245318.0	216937.0	214941.0	93389.0	186882.0	87176.0	1.0	248897.0	202749.0	129959.0	59914.0	88216.0	70444.0	165779.0	305822.0	184357.0	217465.0	111612.0	167220.0	110477.0	177608.0	90196.0	83312.0	88226.0	66574.0	1.0	160030.0	153198.0	195523.0
64.00367@0.8351962	2	161137.0	157194.0	407347.0	162876.0	141586.0	145730.0	377227.0	426729.0	149443.0	151165.0	130219.0	412872.0	157402.0	1.0	128737.0	360418.0	373124.0	376386.0	147929.0	369726.0	131970.0	147673.0	408107.0	399979.0	285820.0	129815.0	147838.0	128311.0	336814.0	430907.0	360478.0	380473.0	144746.0	306743.0	144608.0	344402.0	129296.0	134235.0	135266.0	136242.0	337313.0	329278.0	339931.0	338047.0
150.02827@0.8352652	2	231193.0	241142.0	422543.0	272951.0	206503.0	233595.0	389033.0	456826.0	167472.0	307326.0	158541.0	719540.0	241092.0	856246.0	157739.0	855385.0	382905.0	381959.0	221156.0	335724.0	186407.0	198423.0	426819.0	383381.0	280169.0	127991.0	181383.0	199567.0	628050.0	466853.0	361370.0	386379.0	298066.0	526835.0	202699.0	624285.0	212953.0	229632.0	208113.0	170150.0	362072.0	322311.0	331276.0	703660.0
215.94376@0.83720016	2	575677.0	1.0	395911.0	336670.0	439511.0	113224.0	1006182.0	337030.0	146601.0	55031.0	690976.0	379828.0	591167.0	609370.0	80624.0	657499.0	753285.0	150531.0	1.0	85456.0	122915.0	263870.0	404161.0	55918.0	1098875.0	145161.0	178636.0	143988.0	177097.0	540150.0	417724.0	781823.0	99007.0	103126.0	377322.0	569948.0	324490.0	295590.0	307890.0	279880.0	110793.0	619641.0	115377.0	580227.0
83.95242@0.8372456	1	1086488.0	1.0	1038946.0	611002.0	849773.0	1.0	3126526.0	791435.0	1.0	600554.0	1317462.0	1502110.0	1114742.0	2150879.0	681882.0	2772168.0	2427447.0	2589952.0	1.0	1.0	265531.0	536560.0	1093662.0	973598.0	4793054.0	267300.0	352317.0	329422.0	720143.0	1361902.0	1343528.0	2427162.0	954385.0	1.0	800644.0	2624578.0	762406.0	755268.0	690669.0	647471.0	2483808.0	2349424.0	2394864.0	2590674.0
129.07912@0.8775931	2	89061.0	68978.0	144167.0	77480.0	67944.0	71210.0	140515.0	163884.0	1.0	79666.0	100286.0	135322.0	67139.0	200992.0	93173.0	121764.0	159482.0	193066.0	61022.0	141960.0	67765.0	86080.0	133771.0	121145.0	137520.0	67133.0	1.0	1.0	133025.0	123986.0	173187.0	150283.0	73762.0	118651.0	74286.0	125165.0	66269.0	69521.0	1.0	57510.0	128033.0	120822.0	129871.0	124682.0
146.10571@0.8615305	1	72543.0	64555.0	113758.0	69301.0	60574.0	1.0	112664.0	136560.0	1.0	85052.0	1.0	142407.0	56195.0	229910.0	51199.0	136693.0	124191.0	154584.0	1.0	112115.0	61724.0	72176.0	103370.0	95232.0	102422.0	1.0	37254.0	58502.0	143479.0	108879.0	131308.0	116016.0	73336.0	121084.0	57949.0	130350.0	1.0	1.0	1.0	1.0	104084.0	93955.0	98463.0	138643.0
504.08698@0.8879829	2	40850.0	32021.0	73285.0	39696.0	26949.0	32110.0	72037.0	82277.0	23142.0	47945.0	25058.0	71929.0	29159.0	104980.0	30327.0	61231.0	78216.0	106626.0	33042.0	81900.0	35358.0	31817.0	78618.0	1.0	1.0	30376.0	1.0	28851.0	66313.0	61953.0	95918.0	67078.0	37923.0	54394.0	1.0	58241.0	29082.0	28349.0	27908.0	1.0	70137.0	64063.0	68256.0	69672.0
