# Notes : Entity List : FF 80percent QC blank extracted 
#Interpretation : K_PEX
#Experiment : AH_PoroshellC18_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_negative_2017_Aug_09_11_35_19
# Owner : gxuser
# Created On : Fri May 18 16:08:22 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
491.82614@0.8284109	1	8874.0	48968.0	24520.0	23372.0	23171.0	36537.0	19159.0	26767.0	30114.0	37782.0	1.0	28179.0	1.0	1.0	23161.0	1.0	26039.0	19430.0	64697.0	22997.0	22051.0	35470.0	37470.0	46948.0	25263.0	33754.0	31577.0	41670.0	58603.0	27705.0	32040.0	27750.0	26993.0	47771.0	1.0	33717.0	19358.0	39579.0	39391.0	36548.0	35731.0	38157.0	31137.0	32464.0
459.87506@0.8313712	2	29520.0	73400.0	44623.0	40173.0	28096.0	61122.0	26863.0	50773.0	81213.0	44034.0	1.0	50860.0	33393.0	23287.0	37701.0	54522.0	38644.0	33657.0	96624.0	56435.0	45765.0	50706.0	80132.0	85130.0	30947.0	49125.0	43845.0	69023.0	60487.0	59218.0	66406.0	43114.0	48636.0	63336.0	28972.0	52210.0	59705.0	46708.0	47183.0	35151.0	33196.0	55092.0	1.0	49002.0
419.89624@0.831641	2	199370.0	229182.0	171510.0	187484.0	179091.0	185972.0	174466.0	156866.0	192486.0	191351.0	186710.0	191665.0	171700.0	166800.0	177097.0	172073.0	178858.0	181885.0	229878.0	155856.0	151805.0	196066.0	177350.0	213469.0	169447.0	184508.0	181214.0	196541.0	200227.0	166854.0	205457.0	178918.0	191244.0	185229.0	171417.0	177155.0	179221.0	183897.0	191276.0	183142.0	189782.0	181158.0	152225.0	163953.0
403.92325@0.8328283	2	306700.0	59382.0	125204.0	185952.0	237085.0	69396.0	239773.0	98437.0	72390.0	115929.0	393180.0	74302.0	296573.0	207601.0	228174.0	194489.0	177592.0	206811.0	42004.0	51049.0	116256.0	123966.0	83959.0	61455.0	199789.0	142504.0	111540.0	111516.0	60732.0	97524.0	78879.0	159373.0	249796.0	47142.0	217906.0	139191.0	187693.0	154408.0	155259.0	153714.0	153069.0	154561.0	154160.0	130686.0
289.94342@0.83342624	2	415321.0	86705.0	150775.0	222696.0	336460.0	101835.0	330201.0	116858.0	97009.0	153824.0	555188.0	98393.0	372249.0	256101.0	312982.0	264187.0	229954.0	291362.0	70729.0	1.0	134763.0	158823.0	114599.0	84866.0	342095.0	188285.0	142172.0	152348.0	92773.0	118234.0	108854.0	217915.0	374849.0	76891.0	281989.0	208732.0	258086.0	235725.0	229672.0	224873.0	228181.0	228550.0	228593.0	186630.0
647.85724@0.8326035	2	26381.0	17962.0	17155.0	20524.0	20057.0	14804.0	21833.0	17241.0	19022.0	15997.0	29003.0	17753.0	23805.0	19122.0	17571.0	17730.0	18578.0	17410.0	15950.0	14646.0	14934.0	21423.0	17905.0	17838.0	12114.0	15628.0	14696.0	1.0	13145.0	18799.0	16280.0	16912.0	18610.0	11496.0	1.0	10782.0	15790.0	12413.0	13426.0	1.0	15489.0	14002.0	13527.0	9728.0
549.8543@0.8312298	2	65899.0	1.0	29871.0	43625.0	62863.0	23322.0	66749.0	26297.0	19850.0	41795.0	82523.0	19409.0	60319.0	47997.0	72814.0	63144.0	55067.0	71403.0	1.0	13737.0	26323.0	36277.0	27273.0	20532.0	83605.0	45156.0	33284.0	39263.0	26915.0	24147.0	26485.0	49607.0	82639.0	20054.0	65484.0	58721.0	66801.0	68017.0	66421.0	61902.0	63007.0	61397.0	59531.0	53610.0
273.96637@0.8346715	2	1490049.0	1539659.0	1697782.0	1699469.0	1287764.0	1311262.0	1327762.0	1601105.0	1759491.0	1419648.0	1335468.0	1704144.0	1577427.0	1509826.0	1213829.0	1255735.0	1389057.0	1265100.0	1331344.0	1529319.0	1456893.0	1580873.0	1548045.0	1445924.0	776209.0	1300880.0	1400952.0	1267580.0	1144154.0	1853333.0	1450121.0	1402027.0	1112945.0	973883.0	1330751.0	1028884.0	1208124.0	1070941.0	1064348.0	1060745.0	1075154.0	1064370.0	1058733.0	922916.0
305.91638@0.83581513	2	409347.0	628521.0	454325.0	501135.0	481204.0	520135.0	445966.0	488022.0	515091.0	582501.0	317193.0	510526.0	402769.0	454358.0	492731.0	484423.0	495174.0	523467.0	649350.0	419217.0	406861.0	574554.0	552836.0	586734.0	506484.0	540988.0	516830.0	605236.0	633433.0	485837.0	606842.0	488625.0	474271.0	580556.0	468653.0	557824.0	543847.0	615610.0	609696.0	603775.0	585704.0	579731.0	554962.0	526944.0
313.90973@0.8407257	2	1.0	65833.0	35882.0	40455.0	56829.0	158353.0	21331.0	40237.0	43010.0	47685.0	54592.0	103229.0	42619.0	43540.0	49056.0	42040.0	70016.0	45508.0	79406.0	46247.0	25900.0	33396.0	35578.0	56368.0	48484.0	31712.0	42693.0	45083.0	50717.0	38956.0	48107.0	69496.0	58378.0	93818.0	57485.0	74922.0	52596.0	71989.0	59521.0	53271.0	61772.0	58280.0	54213.0	71400.0
159.98573@0.842609	2	577712.0	591769.0	646700.0	703567.0	533686.0	594785.0	531266.0	553368.0	579261.0	543858.0	547496.0	651618.0	609494.0	696699.0	496267.0	556188.0	682554.0	603707.0	584393.0	620364.0	550946.0	636783.0	611414.0	580617.0	387305.0	471283.0	513765.0	475160.0	557978.0	600734.0	600055.0	553758.0	551929.0	464890.0	556118.0	555148.0	499404.0	477031.0	469442.0	522040.0	528054.0	458894.0	571932.0	458065.0
