# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : Samples
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 4 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri Aug 04 08:20:47 CEST 2017
Compound	Number Passed	DM_4(raw)	DM_44(raw)	DM_46(raw)	DM_58(raw)	DM_72(raw)	DM_74(raw)	DM_76(raw)	DM_82(raw)	DM_86(raw)	DM_89(raw)	DM_94(raw)	DM_99(raw)	DM_302(raw)	DM_303(raw)	DM_305(raw)	DM_316(raw)	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_41(raw)	PEX_98(raw)	PEX_315(raw)	PEX_319(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
402.08508@2.9893184	4	832373.0	647140.0	585719.0	547765.0	706993.0	553250.0	558020.0	445453.0	496418.0	940218.0	626250.0	583159.0	563263.0	437426.0	547042.0	675423.0	496513.0	505773.0	479694.0	562752.0	568388.0	541543.0	520224.0	613427.0	528865.0	641987.0	557146.0	617524.0	589017.0	577937.0	635884.0	459027.0	591589.0	518375.0	730370.0	590795.0	563330.0	560299.0	504476.0	527474.0	605585.0	498837.0	536806.0	571558.0	325731.0	590766.0	660107.0	850737.0	521802.0	562278.0	531876.0	576578.0	515704.0	651028.0	448697.0	493694.0	450014.0	796352.0	515316.0	544241.0	461554.0	474416.0	453936.0	449265.0
451.92346@3.113297	4	62889.0	35891.0	210315.0	26303.0	40494.0	250559.0	62098.0	90542.0	67587.0	44736.0	155092.0	51319.0	144224.0	468439.0	110999.0	54266.0	243615.0	108769.0	220665.0	71901.0	46400.0	85038.0	39258.0	206344.0	243159.0	29378.0	1.0	702558.0	176230.0	1.0	213618.0	257817.0	107657.0	148464.0	83515.0	50816.0	151370.0	222602.0	67923.0	346286.0	59799.0	30168.0	107454.0	120553.0	80240.0	36681.0	93743.0	59740.0	315603.0	217424.0	111446.0	442760.0	164403.0	73537.0	67404.0	69135.0	170961.0	169231.0	118719.0	178132.0	187073.0	180163.0	260432.0	260898.0
237.10048@3.112143	1	116049.0	151565.0	110453.0	203930.0	171064.0	98854.0	1.0	1.0	1.0	95370.0	98048.0	1.0	106256.0	52960.0	95344.0	123371.0	136857.0	199472.0	239499.0	160420.0	215894.0	200675.0	143658.0	143066.0	121724.0	128288.0	78958.0	181290.0	176864.0	114014.0	118350.0	1.0	145023.0	162516.0	1.0	150011.0	1.0	102154.0	223561.0	79281.0	1.0	75696.0	1.0	1.0	1.0	74579.0	1.0	115567.0	107542.0	112368.0	203564.0	1.0	123400.0	100707.0	94236.0	104695.0	112079.0	117776.0	94460.0	1.0	94993.0	81893.0	1.0	84741.0
130.06303@3.1377842	1	617089.0	485059.0	347556.0	721597.0	764256.0	1.0	196137.0	213608.0	347342.0	118381.0	277663.0	679514.0	662096.0	372507.0	1.0	183964.0	535270.0	560116.0	584235.0	701058.0	1.0	268583.0	223029.0	1.0	142360.0	198736.0	432063.0	550406.0	285730.0	595976.0	548022.0	524663.0	1.0	536945.0	1.0	673757.0	100882.0	1.0	420784.0	1.0	1.0	1.0	212652.0	180833.0	356629.0	1.0	303961.0	322734.0	1.0	345377.0	487182.0	283679.0	1.0	379775.0	700373.0	647233.0	648964.0	626002.0	597750.0	579784.0	604071.0	566230.0	564085.0	520780.0
276.11136@3.200836	4	58865.0	93656.0	67955.0	40919.0	73385.0	50091.0	63075.0	54049.0	42878.0	63835.0	63460.0	64281.0	64095.0	38843.0	63631.0	76912.0	79656.0	135745.0	139906.0	78170.0	1.0	85834.0	80586.0	89203.0	60773.0	65114.0	57694.0	157554.0	109472.0	58636.0	51187.0	39880.0	1.0	88355.0	40144.0	82507.0	76558.0	67415.0	84688.0	44151.0	62968.0	52949.0	46362.0	45170.0	59174.0	46322.0	39081.0	81994.0	73012.0	1.0	104099.0	37884.0	54726.0	52091.0	48170.0	53109.0	52253.0	63332.0	44640.0	52328.0	48022.0	47112.0	44831.0	44957.0
372.22577@3.2073076	4	470175.0	322379.0	284790.0	351107.0	583638.0	314138.0	435692.0	569237.0	394712.0	305458.0	333514.0	329451.0	260636.0	495885.0	379575.0	466282.0	387613.0	489069.0	309058.0	423756.0	367413.0	338114.0	326538.0	441722.0	218204.0	368040.0	293136.0	344991.0	709181.0	366553.0	335656.0	243949.0	302112.0	423920.0	337369.0	340101.0	291699.0	248312.0	364325.0	525512.0	401994.0	311439.0	374914.0	401298.0	312264.0	532497.0	625837.0	373093.0	686631.0	346810.0	284668.0	363414.0	266423.0	371002.0	191986.0	204248.0	188060.0	192040.0	1.0	178294.0	178586.0	183412.0	174015.0	170024.0
94.04162@3.2051606	3	1.0	688969.0	373693.0	1227440.0	1.0	360146.0	412814.0	368054.0	452928.0	1.0	729824.0	678151.0	978479.0	554384.0	676577.0	217749.0	308469.0	513783.0	623359.0	1.0	1.0	457635.0	833136.0	1.0	235695.0	1057765.0	1294039.0	427977.0	292032.0	254133.0	382681.0	3069881.0	1911510.0	266762.0	958666.0	1323658.0	193325.0	1630157.0	600493.0	445934.0	342760.0	785874.0	606579.0	421693.0	563163.0	1.0	351507.0	471482.0	204119.0	290421.0	464671.0	145861.0	1513631.0	1.0	740022.0	728780.0	806182.0	791977.0	744634.0	742269.0	683039.0	672982.0	663532.0	737901.0
72.05747@3.2167742	3	1159245.0	3236665.0	2076122.0	1.0	5235390.0	1514524.0	1527937.0	4563367.0	1506559.0	3406089.0	1352184.0	2261549.0	1680825.0	1755003.0	2386866.0	1959795.0	1612979.0	2053387.0	2925877.0	2205182.0	1449748.0	4190767.0	1857632.0	1578682.0	1168170.0	1723239.0	1031250.0	1693959.0	1489287.0	1327603.0	1669604.0	1408825.0	1517424.0	4140138.0	1211763.0	1285085.0	1326299.0	1429295.0	1889781.0	1471480.0	1857911.0	2492246.0	2518212.0	1609232.0	2355284.0	914172.0	1022289.0	1471845.0	1483603.0	1298958.0	3727748.0	1398173.0	1.0	1285286.0	1635339.0	1604640.0	1607345.0	1562290.0	1491472.0	1454032.0	1535984.0	1434022.0	1465981.0	1417003.0
173.9986@3.204081	4	679728.0	2843942.0	1336976.0	5472911.0	1455548.0	1.0	1592323.0	1106309.0	1846476.0	1031410.0	3019803.0	2905661.0	4896143.0	2341522.0	2643682.0	1.0	1222360.0	2135631.0	2197716.0	1.0	1372844.0	1839618.0	3420627.0	1416436.0	888788.0	4785076.0	6273485.0	1277356.0	1135121.0	936566.0	537791.0	1.5978488E7	9218301.0	1006749.0	4388106.0	6185969.0	427581.0	8074114.0	2113145.0	1701394.0	1518891.0	3051538.0	2284727.0	1412405.0	1954181.0	320242.0	1100408.0	2056217.0	623212.0	966289.0	1977031.0	378748.0	7329026.0	1008388.0	3390346.0	3360540.0	3485416.0	3424013.0	3047177.0	3410691.0	3179032.0	2997676.0	2866126.0	2799406.0
540.2565@3.2553792	4	39709.0	221555.0	175784.0	112773.0	73839.0	34640.0	72630.0	115867.0	56785.0	46607.0	84829.0	78690.0	68553.0	1.0	118754.0	82835.0	79020.0	62781.0	53195.0	46210.0	69146.0	107335.0	205772.0	116458.0	48242.0	108366.0	1.0	84530.0	109173.0	55550.0	1.0	58920.0	79059.0	108562.0	33333.0	100312.0	125799.0	98163.0	233640.0	27516.0	1.0	187635.0	1.0	50109.0	104925.0	42726.0	73072.0	60548.0	1.0	39698.0	190707.0	35127.0	46984.0	73986.0	124920.0	67565.0	64495.0	69653.0	127792.0	69790.0	62387.0	63119.0	115008.0	61937.0
