# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : K_PEX 
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 3 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri May 18 16:00:57 CEST 2018
Compound	Number Passed	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
80.96428@2.883733	1	1.0	152223.0	178187.0	199133.0	1.0	1.0	397280.0	1.0	1.0	248165.0	1.0	1.0	1.0	169547.0	1.0	282015.0	1.0	383489.0	165462.0	126657.0	1.0	1.0	1.0	1.0	1.0	494536.0	1.0	1.0	841477.0	1.0	1.0	1.0	1.0	1.0	248751.0	225503.0	270148.0	243804.0	261089.0	241081.0	226158.0	227615.0	242847.0	220721.0
108.05724@2.8729079	3	331415.0	458492.0	540760.0	643824.0	1.0	1.0	1323047.0	403376.0	241039.0	639546.0	371274.0	468949.0	318246.0	460846.0	333872.0	891332.0	1.0	1268429.0	422329.0	414801.0	305456.0	1.0	479772.0	268493.0	299264.0	1691380.0	374127.0	291906.0	2661451.0	1.0	266723.0	330138.0	315945.0	248871.0	767673.0	668721.0	746490.0	724241.0	688724.0	732511.0	658025.0	633979.0	626961.0	636069.0
398.01068@2.8720303	1	1.0	1.0	36119.0	47895.0	1.0	1.0	243127.0	1.0	1.0	42793.0	1.0	29610.0	1.0	27179.0	1.0	125099.0	1.0	244195.0	21372.0	17161.0	1.0	1.0	22744.0	1.0	1.0	450889.0	1.0	1.0	519021.0	1.0	1.0	1.0	1.0	1.0	37897.0	54530.0	41632.0	45153.0	47985.0	41230.0	53083.0	47652.0	47455.0	50666.0
212.14111@2.8685613	1	48146.0	64383.0	50645.0	48194.0	1.0	1.0	36446.0	1.0	1.0	1.0	1.0	61174.0	75892.0	1.0	1.0	80713.0	43278.0	55289.0	53316.0	49372.0	1.0	49341.0	58183.0	58939.0	44601.0	1.0	53093.0	42872.0	49222.0	46167.0	1.0	1.0	71829.0	62187.0	89789.0	67900.0	86622.0	80605.0	67516.0	75895.0	76778.0	63445.0	69024.0	70288.0
308.1987@2.880115	3	411912.0	411507.0	534268.0	132504.0	254147.0	1.0	49513.0	289826.0	282170.0	377534.0	333120.0	284059.0	652640.0	345412.0	560949.0	145455.0	477631.0	210727.0	168723.0	287192.0	82469.0	125792.0	602234.0	36745.0	178734.0	113582.0	286989.0	283704.0	1.0	186029.0	654496.0	97019.0	1.0	413023.0	281811.0	283256.0	287679.0	314326.0	314000.0	309505.0	325341.0	228626.0	321665.0	346983.0
536.1873@2.8760667	1	1.0	20585.0	27529.0	31846.0	1.0	1.0	60460.0	1.0	1.0	30013.0	1.0	23965.0	1.0	1.0	1.0	47864.0	1.0	65539.0	19546.0	18028.0	1.0	1.0	1.0	1.0	1.0	85523.0	1.0	1.0	77512.0	1.0	1.0	1.0	1.0	1.0	29181.0	33109.0	27554.0	35010.0	29954.0	35137.0	32341.0	29768.0	1.0	31399.0
245.06065@2.879948	3	102566.0	82276.0	1.0	55322.0	55583.0	117483.0	55064.0	107855.0	1.0	115790.0	78955.0	43101.0	83734.0	99515.0	107999.0	74468.0	1.0	79175.0	58019.0	116158.0	63400.0	97644.0	64087.0	108333.0	83220.0	79221.0	79055.0	88368.0	1.0	1.0	74765.0	104403.0	98491.0	104022.0	114808.0	59102.0	49845.0	52609.0	94757.0	106359.0	90292.0	80481.0	47696.0	53774.0
402.08508@2.9893184	3	496513.0	505773.0	479694.0	562752.0	568388.0	541543.0	520224.0	613427.0	528865.0	641987.0	557146.0	617524.0	589017.0	577937.0	635884.0	459027.0	591589.0	518375.0	730370.0	590795.0	563330.0	560299.0	504476.0	527474.0	605585.0	498837.0	536806.0	571558.0	325731.0	590766.0	660107.0	850737.0	521802.0	562278.0	448697.0	493694.0	450014.0	796352.0	515316.0	544241.0	461554.0	474416.0	453936.0	449265.0
451.92346@3.113297	3	243615.0	108769.0	220665.0	71901.0	46400.0	85038.0	39258.0	206344.0	243159.0	29378.0	1.0	702558.0	176230.0	1.0	213618.0	257817.0	107657.0	148464.0	83515.0	50816.0	151370.0	222602.0	67923.0	346286.0	59799.0	30168.0	107454.0	120553.0	80240.0	36681.0	93743.0	59740.0	315603.0	217424.0	67404.0	69135.0	170961.0	169231.0	118719.0	178132.0	187073.0	180163.0	260432.0	260898.0
237.10048@3.112143	2	136857.0	199472.0	239499.0	160420.0	215894.0	200675.0	143658.0	143066.0	121724.0	128288.0	78958.0	181290.0	176864.0	114014.0	118350.0	1.0	145023.0	162516.0	1.0	150011.0	1.0	102154.0	223561.0	79281.0	1.0	75696.0	1.0	1.0	1.0	74579.0	1.0	115567.0	107542.0	112368.0	94236.0	104695.0	112079.0	117776.0	94460.0	1.0	94993.0	81893.0	1.0	84741.0
130.06303@3.1377842	1	535270.0	560116.0	584235.0	701058.0	1.0	268583.0	223029.0	1.0	142360.0	198736.0	432063.0	550406.0	285730.0	595976.0	548022.0	524663.0	1.0	536945.0	1.0	673757.0	100882.0	1.0	420784.0	1.0	1.0	1.0	212652.0	180833.0	356629.0	1.0	303961.0	322734.0	1.0	345377.0	700373.0	647233.0	648964.0	626002.0	597750.0	579784.0	604071.0	566230.0	564085.0	520780.0
276.11136@3.200836	3	79656.0	135745.0	139906.0	78170.0	1.0	85834.0	80586.0	89203.0	60773.0	65114.0	57694.0	157554.0	109472.0	58636.0	51187.0	39880.0	1.0	88355.0	40144.0	82507.0	76558.0	67415.0	84688.0	44151.0	62968.0	52949.0	46362.0	45170.0	59174.0	46322.0	39081.0	81994.0	73012.0	1.0	48170.0	53109.0	52253.0	63332.0	44640.0	52328.0	48022.0	47112.0	44831.0	44957.0
372.22577@3.2073076	3	387613.0	489069.0	309058.0	423756.0	367413.0	338114.0	326538.0	441722.0	218204.0	368040.0	293136.0	344991.0	709181.0	366553.0	335656.0	243949.0	302112.0	423920.0	337369.0	340101.0	291699.0	248312.0	364325.0	525512.0	401994.0	311439.0	374914.0	401298.0	312264.0	532497.0	625837.0	373093.0	686631.0	346810.0	191986.0	204248.0	188060.0	192040.0	1.0	178294.0	178586.0	183412.0	174015.0	170024.0
94.04162@3.2051606	3	308469.0	513783.0	623359.0	1.0	1.0	457635.0	833136.0	1.0	235695.0	1057765.0	1294039.0	427977.0	292032.0	254133.0	382681.0	3069881.0	1911510.0	266762.0	958666.0	1323658.0	193325.0	1630157.0	600493.0	445934.0	342760.0	785874.0	606579.0	421693.0	563163.0	1.0	351507.0	471482.0	204119.0	290421.0	740022.0	728780.0	806182.0	791977.0	744634.0	742269.0	683039.0	672982.0	663532.0	737901.0
72.05747@3.2167742	3	1612979.0	2053387.0	2925877.0	2205182.0	1449748.0	4190767.0	1857632.0	1578682.0	1168170.0	1723239.0	1031250.0	1693959.0	1489287.0	1327603.0	1669604.0	1408825.0	1517424.0	4140138.0	1211763.0	1285085.0	1326299.0	1429295.0	1889781.0	1471480.0	1857911.0	2492246.0	2518212.0	1609232.0	2355284.0	914172.0	1022289.0	1471845.0	1483603.0	1298958.0	1635339.0	1604640.0	1607345.0	1562290.0	1491472.0	1454032.0	1535984.0	1434022.0	1465981.0	1417003.0
173.9986@3.204081	3	1222360.0	2135631.0	2197716.0	1.0	1372844.0	1839618.0	3420627.0	1416436.0	888788.0	4785076.0	6273485.0	1277356.0	1135121.0	936566.0	537791.0	1.5978488E7	9218301.0	1006749.0	4388106.0	6185969.0	427581.0	8074114.0	2113145.0	1701394.0	1518891.0	3051538.0	2284727.0	1412405.0	1954181.0	320242.0	1100408.0	2056217.0	623212.0	966289.0	3390346.0	3360540.0	3485416.0	3424013.0	3047177.0	3410691.0	3179032.0	2997676.0	2866126.0	2799406.0
540.2565@3.2553792	3	79020.0	62781.0	53195.0	46210.0	69146.0	107335.0	205772.0	116458.0	48242.0	108366.0	1.0	84530.0	109173.0	55550.0	1.0	58920.0	79059.0	108562.0	33333.0	100312.0	125799.0	98163.0	233640.0	27516.0	1.0	187635.0	1.0	50109.0	104925.0	42726.0	73072.0	60548.0	1.0	39698.0	124920.0	67565.0	64495.0	69653.0	127792.0	69790.0	62387.0	63119.0	115008.0	61937.0
620.3756@3.2538128	3	70727.0	93911.0	55758.0	68963.0	64939.0	60442.0	32255.0	79094.0	38237.0	67073.0	54625.0	60763.0	129324.0	59275.0	54083.0	51409.0	62313.0	67918.0	64134.0	61843.0	52460.0	49740.0	62695.0	88258.0	74595.0	54156.0	64989.0	70834.0	41801.0	96063.0	100305.0	61647.0	135855.0	62295.0	29097.0	32660.0	24672.0	28346.0	27342.0	25079.0	28338.0	22582.0	28672.0	24751.0
590.3013@3.273892	1	1.0	22383.0	20429.0	39779.0	1.0	1.0	120489.0	40111.0	1.0	1.0	1.0	16615.0	1.0	42541.0	1.0	28485.0	1.0	51854.0	25834.0	1.0	35162.0	1.0	1.0	1.0	1.0	122460.0	22152.0	1.0	92897.0	1.0	1.0	1.0	1.0	1.0	26808.0	35428.0	33701.0	29429.0	26731.0	41905.0	32389.0	29627.0	26909.0	25054.0
